date,snowfall_cm,snow_quality_index,wind_speed_mps,rail_ridership,holiday,temperature_c,rainfall_mm,event_local_flag,typhoon_alert_flag,mobility_inflow_index,tourist_inflow_count,lodging_occupancy_ratio,temple_shrine_visits,onsen_visitors_count,y
2023-09-13,0.0,0.046,7.8,0.544,weekday,23.4,12.9,0.0,0,0.473,0.043,0.0,0.078,0.0,0
2023-09-14,0.0,0.037,7.2,0.567,weekday,22.7,13.7,0.0,0,0.309,0.0,0.008,0.009,0.007,0
2023-09-15,0.0,0.0,5.0,0.553,weekday,23.9,8.8,0.0,0,,0.068,0.069,0.105,0.0,0
2023-09-16,0.0,0.0,7.7,0.173,holiday,23.6,8.9,0.0,0,0.723,0.424,0.538,0.574,0.342,0
2023-09-17,0.0,0.0,8.2,0.059,holiday,23.3,12.5,0.0,0,0.73,0.35,0.676,0.624,0.261,1
2023-09-18,2.5,0.053,6.9,0.589,weekday,25.0,12.0,0.0,0,0.444,0.075,0.0,0.108,0.001,0
2023-09-19,0.0,0.042,7.4,0.611,weekday,24.4,10.8,0.0,0,0.435,0.039,0.015,0.078,0.0,0
2023-09-20,0.0,,6.3,0.724,weekday,23.3,12.0,0.0,1,0.464,0.066,0.054,0.164,0.0,0
2023-09-21,1.4,0.063,4.9,0.565,weekday,24.7,10.3,1.0,0,0.516,0.449,0.267,0.322,0.016,0
2023-09-22,0.0,0.024,6.8,0.765,weekday,25.0,9.4,0.0,0,0.508,0.082,0.109,,0.002,0
2023-09-23,4.2,0.123,5.3,0.109,holiday,24.1,8.8,0.0,0,0.632,0.518,,,,0
2023-09-24,0.0,0.0,6.4,0.151,holiday,25.2,11.5,1.0,0,0.814,0.608,0.827,0.832,0.257,0
2023-09-25,0.0,0.0,8.0,0.723,weekday,26.1,10.6,0.0,0,0.525,0.075,0.083,0.135,0.067,0
2023-09-26,0.3,0.0,7.0,0.623,weekday,25.1,9.0,,0,0.441,,0.114,0.042,0.018,0
