date,rainfall_mm,ferry_cancel_count,event_local_flag,holiday,temperature_c,wind_speed_mps,snowfall_cm,typhoon_alert_flag,mobility_inflow_index,tourist_inflow_count,lodging_occupancy_ratio,rail_ridership,temple_shrine_visits,onsen_visitors_count,y
2023-09-13,14.9,0.309,0.0,weekday,21.1,8.4,0.0,0,0.28,0.085,0.02,0.644,0.019,0.0,0.277
2023-09-14,9.7,0.244,0.0,weekday,23.7,5.9,0.0,0,0.499,0.0,0.0,0.62,0.07,0.0,0.409
2023-09-15,10.6,0.282,0.0,weekday,23.6,7.2,0.0,0,0.34,,0.005,0.719,0.097,0.061,0.358
2023-09-16,10.8,0.29,0.0,holiday,22.9,6.9,2.3,0,0.762,0.387,0.489,0.07,0.553,0.434,0.364
2023-09-17,10.3,0.265,0.0,holiday,24.3,7.7,1.9,0,0.888,0.453,0.527,0.146,0.616,0.39,0.408
2023-09-18,17.2,0.594,0.0,weekday,24.7,7.4,0.1,1,0.322,0.071,0.021,0.544,0.088,0.056,0.258
2023-09-19,12.3,0.215,0.0,weekday,25.1,6.7,2.8,0,0.444,,0.0,0.664,0.153,0.0,0.35
2023-09-20,13.5,0.196,0.0,weekday,23.6,4.4,0.0,0,0.379,0.0,0.019,0.671,0.192,0.152,0.35
2023-09-21,13.7,0.231,1.0,weekday,23.6,6.9,0.0,0,0.426,0.193,0.219,0.671,0.312,,0.417
2023-09-22,12.1,0.322,0.0,weekday,24.9,9.0,1.6,0,,0.258,0.0,0.759,0.226,0.0,0.465
2023-09-23,13.9,0.255,0.0,holiday,25.2,7.4,1.5,0,0.719,0.396,0.531,0.03,,0.284,0.271
2023-09-24,9.6,0.258,0.0,holiday,25.5,8.1,2.2,0,0.774,0.426,0.673,0.102,,,0.385
2023-09-25,10.0,0.252,0.0,weekday,24.5,6.6,0.0,0,0.421,0.039,0.095,,0.172,,0.412
2023-09-26,11.4,0.284,0.0,weekday,24.8,7.9,1.1,0,0.546,0.141,0.053,0.6,0.09,0.082,0.346
2023-09-27,14.6,0.288,0.0,weekday,25.3,7.4,0.6,0,0.338,0.034,0.0,0.587,0.07,0.0,0.369
2023-09-28,15.3,0.106,0.0,weekday,27.1,2.4,0.0,0,0.496,0.2,0.018,0.694,0.131,0.0,0.393
2023-09-29,9.6,0.224,0.0,weekday,27.2,6.8,0.0,0,0.429,0.227,0.131,0.669,0.11,0.0,0.398
2023-09-30,13.7,0.297,0.0,holiday,26.1,7.4,0.0,0,0.663,0.533,,0.126,0.595,0.386,0.371
2023-10-01,0.4,0.065,0.0,holiday,26.2,2.6,1.2,0,0.668,0.591,0.637,0.086,0.669,0.308,0.378
2023-10-02,2.6,0.127,0.0,weekday,27.2,5.5,0.5,0,0.431,0.132,0.0,0.661,0.082,0.052,0.416
2023-10-03,2.4,0.126,0.0,weekday,26.2,3.7,3.5,0,0.397,0.09,0.0,0.691,0.008,0.039,0.408
2023-10-04,1.7,0.197,0.0,weekday,27.1,6.6,1.7,0,0.329,0.071,,0.577,0.072,0.122,0.369
2023-10-05,2.5,0.103,0.0,weekday,25.4,3.4,1.0,0,0.465,0.0,0.0,0.636,0.084,0.0,0.375
2023-10-06,2.7,0.085,,weekday,26.4,2.1,0.0,0,0.447,0.075,0.033,0.664,0.131,0.062,0.389
2023-10-07,0.6,0.106,1.0,holiday,27.3,4.2,0.0,0,0.602,0.746,0.875,0.052,0.753,0.344,0.358
2023-10-08,2.9,0.067,1.0,holiday,26.0,2.7,1.0,0,0.625,0.686,0.878,0.016,0.784,0.316,0.369
2023-10-09,7.9,0.194,0.0,weekday,27.5,3.8,0.0,0,0.516,0.0,0.0,0.625,0.09,0.0,0.358
2023-10-10,6.6,0.086,0.0,weekday,27.4,3.0,0.0,0,0.506,0.251,0.116,0.662,0.08,0.046,0.387
2023-10-11,6.4,0.176,0.0,weekday,28.2,5.9,0.0,0,0.407,0.016,0.0,0.596,0.137,0.001,0.377
2023-10-12,2.4,0.102,0.0,weekday,27.6,2.8,0.0,0,0.423,0.195,0.084,0.619,0.101,0.086,0.385
2023-10-13,8.4,0.196,1.0,weekday,26.2,6.5,0.0,0,0.515,,0.26,0.626,0.265,0.0,0.435
2023-10-14,1.3,0.042,0.0,holiday,28.0,2.7,4.1,0,0.754,0.592,0.632,0.034,0.567,0.323,0.338
