date,holiday,event_local_flag,rainfall_mm,lodging_occupancy_ratio,tourist_inflow_count,temperature_c,wind_speed_mps,snowfall_cm,typhoon_alert_flag,mobility_inflow_index,rail_ridership,temple_shrine_visits,onsen_visitors_count,beach_crowd_index,y
2023-09-13,weekday,0.0,12.1,0.026,0.092,23.4,8.8,2.3,1,0.35,0.608,0.042,0.002,0.0,0.042
2023-09-14,weekday,0.0,11.4,0.0,0.189,23.8,11.5,0.0,0,0.468,0.676,0.118,0.0,0.0,0.087
2023-09-15,weekday,0.0,,0.117,0.224,23.0,7.5,2.4,0,0.428,0.662,0.09,0.0,0.0,0.054
2023-09-16,holiday,0.0,13.3,0.522,0.403,24.0,10.0,2.8,0,0.824,0.091,0.599,0.384,0.291,0.474
2023-09-17,holiday,0.0,8.9,0.601,0.315,24.5,7.7,0.0,1,0.673,0.0,0.58,0.35,,0.508
2023-09-18,weekday,0.0,12.1,0.036,0.126,23.6,7.1,0.0,0,0.422,0.53,0.082,0.0,0.0,0.056
2023-09-19,weekday,0.0,13.1,0.148,0.178,25.1,8.4,0.0,0,0.5,0.665,0.036,0.0,0.083,0.058
2023-09-20,weekday,0.0,10.9,0.0,0.091,24.0,9.5,0.0,0,0.536,0.704,0.185,0.07,0.0,0.085
2023-09-21,weekday,0.0,12.9,0.001,0.062,25.7,6.5,1.0,0,0.373,,0.076,0.0,0.165,0.06
2023-09-22,weekday,0.0,10.0,,0.103,25.1,8.2,0.0,0,0.459,0.666,0.026,0.027,0.167,0.032
2023-09-23,holiday,0.0,9.3,0.589,0.549,24.6,7.5,5.3,0,0.615,0.0,0.592,0.352,0.347,0.57
2023-09-24,holiday,0.0,11.0,0.592,0.514,24.7,7.8,0.6,0,0.582,0.14,0.604,0.246,0.25,0.561
2023-09-25,weekday,1.0,13.3,0.26,0.308,26.6,6.7,0.2,0,0.564,0.659,0.377,0.0,0.239,0.373
2023-09-26,weekday,0.0,11.7,0.001,0.141,25.9,7.2,0.0,0,0.398,0.694,0.125,0.003,0.178,0.012
2023-09-27,weekday,0.0,9.2,0.0,0.024,26.8,9.5,0.0,0,0.585,0.631,0.142,0.02,0.236,0.064
2023-09-28,weekday,0.0,11.4,0.033,0.179,24.4,6.8,0.0,0,0.453,0.598,0.163,0.083,0.0,0.0
2023-09-29,weekday,0.0,13.7,0.0,0.0,24.8,8.7,0.0,0,0.599,0.596,0.122,0.003,,0.004
2023-09-30,holiday,0.0,10.0,0.524,0.469,26.6,8.5,0.0,0,0.669,0.117,0.598,0.447,0.363,0.528
2023-10-01,holiday,0.0,1.7,0.573,0.517,25.9,5.5,0.0,0,0.725,0.045,0.592,0.286,0.444,0.581
2023-10-02,weekday,0.0,1.0,0.083,0.195,25.7,7.4,0.0,0,0.419,0.605,0.145,0.051,,0.067
2023-10-03,weekday,0.0,5.3,0.059,,25.6,7.9,0.0,0,0.524,0.649,0.052,0.016,0.132,0.071
2023-10-04,weekday,0.0,1.6,0.0,0.014,27.8,4.4,1.6,0,0.331,0.758,0.113,0.077,0.442,0.077
2023-10-05,weekday,0.0,5.4,0.077,0.026,27.4,6.5,2.4,0,0.41,0.729,0.172,0.044,0.229,0.06
2023-10-06,weekday,0.0,4.4,0.047,0.159,25.5,6.5,0.0,0,0.475,0.689,0.198,0.053,,0.079
2023-10-07,holiday,0.0,1.2,0.508,0.437,26.3,4.7,4.7,0,0.714,0.143,0.644,0.298,0.425,0.521
2023-10-08,holiday,0.0,5.5,0.62,0.538,26.1,4.5,0.0,0,0.65,0.139,0.609,0.325,0.56,0.579
2023-10-09,weekday,0.0,3.0,0.0,0.166,27.9,4.4,0.0,0,0.468,0.701,0.062,0.047,0.18,0.063
2023-10-10,weekday,,1.5,0.024,0.0,27.7,7.1,0.0,0,0.475,0.695,,0.0,0.343,0.091
2023-10-11,weekday,0.0,0.4,0.106,0.323,27.6,5.9,2.1,0,0.381,0.696,0.142,0.028,0.198,0.109
2023-10-12,weekday,0.0,4.7,0.05,0.041,27.3,7.0,0.0,0,,,0.12,0.012,0.312,0.023
2023-10-13,weekday,0.0,2.6,,0.0,27.6,6.1,0.0,0,0.468,0.728,0.104,0.041,0.241,0.056
2023-10-14,holiday,0.0,1.7,,,27.0,5.4,1.6,0,0.665,0.096,0.611,0.348,0.536,0.552
2023-10-15,holiday,0.0,1.1,0.661,0.581,27.8,4.7,0.6,0,0.641,0.139,0.641,0.44,0.538,0.614
2023-10-16,weekday,0.0,3.2,0.08,0.038,28.4,5.8,2.0,0,0.281,0.723,0.0,0.0,0.438,0.095
2023-10-17,weekday,0.0,0.2,0.125,0.241,27.3,7.0,0.0,0,0.4,0.573,0.092,0.075,0.288,0.051
2023-10-18,weekday,0.0,1.6,0.023,0.07,27.0,4.1,0.9,0,0.497,0.712,0.162,0.034,0.318,0.068
2023-10-19,weekday,0.0,7.0,0.084,0.114,28.6,5.2,0.0,0,0.401,0.616,0.089,0.019,0.266,0.047
2023-10-20,weekday,0.0,2.0,0.028,0.196,27.1,5.5,0.0,0,0.497,0.697,,0.0,0.332,0.078
2023-10-21,holiday,1.0,2.0,0.846,0.954,30.5,4.4,0.4,0,0.601,0.108,0.767,0.35,0.566,0.894
2023-10-22,holiday,0.0,2.7,,0.514,26.9,5.5,0.0,0,0.619,0.058,0.655,0.444,0.517,0.601
2023-10-23,weekday,0.0,2.0,0.032,0.097,27.3,7.5,0.0,0,0.442,0.641,0.103,0.032,0.269,0.039
2023-10-24,weekday,0.0,6.8,0.066,0.183,29.2,4.6,0.9,0,0.497,0.707,,0.032,0.227,0.1
2023-10-25,weekday,0.0,2.8,0.0,0.115,26.7,5.0,0.0,0,0.417,0.616,0.069,0.032,,0.094
2023-10-26,weekday,0.0,2.7,0.0,0.17,28.2,4.2,1.5,0,0.397,0.633,0.164,0.0,0.303,0.048
2023-10-27,weekday,0.0,3.4,,0.003,28.2,5.2,0.0,0,0.377,0.672,0.101,0.038,0.29,0.031
2023-10-28,holiday,0.0,4.0,0.634,0.485,28.1,2.6,1.1,0,0.574,0.163,0.636,0.332,0.526,0.587
2023-10-29,holiday,0.0,1.5,0.534,0.419,27.9,4.5,2.4,0,0.81,0.084,0.533,0.34,0.516,0.492
2023-10-30,weekday,0.0,5.2,0.0,0.094,28.9,4.5,1.6,0,0.421,0.647,0.111,0.0,0.44,0.044
2023-10-31,weekday,1.0,2.6,0.27,0.385,28.3,4.4,0.0,0,0.349,0.703,0.273,0.0,0.49,0.299
