date,snowfall_cm,wind_speed_mps,temperature_c,holiday,rainfall_mm,event_local_flag,typhoon_alert_flag,mobility_inflow_index,tourist_inflow_count,lodging_occupancy_ratio,rail_ridership,temple_shrine_visits,onsen_visitors_count,beach_crowd_index,y
2023-09-13,0.0,7.3,23.5,weekday,9.9,0.0,0,,0.085,0.0,0.664,0.058,0.0,0.045,0
2023-09-14,1.9,6.4,24.8,weekday,12.1,0.0,0,0.411,0.082,0.033,0.705,0.067,0.0,0.0,0
2023-09-15,0.0,7.8,23.5,weekday,12.7,0.0,0,0.535,0.054,0.0,0.603,0.031,0.0,0.0,0
2023-09-16,0.0,7.6,23.6,holiday,11.6,0.0,0,0.678,0.503,0.601,0.038,0.53,0.266,0.204,0
2023-09-17,0.0,9.5,23.4,holiday,10.0,0.0,0,0.682,0.486,0.603,0.142,0.6,,,0
2023-09-18,3.4,6.6,23.7,weekday,8.3,0.0,0,0.51,0.063,0.0,0.747,0.115,0.0,0.104,0
2023-09-19,0.0,9.2,23.9,weekday,,0.0,0,0.464,0.12,0.002,0.583,0.105,0.055,0.112,0
2023-09-20,1.4,7.3,25.1,weekday,10.7,0.0,0,0.399,0.0,0.107,0.568,0.126,0.059,0.047,0
2023-09-21,0.0,8.5,24.8,weekday,10.0,0.0,0,,0.242,0.0,0.692,0.076,0.072,0.202,0
2023-09-22,2.4,8.2,24.8,weekday,,0.0,0,0.46,0.07,0.0,0.686,0.054,,0.034,0
2023-09-23,0.0,7.8,25.0,holiday,9.1,,0,0.766,0.606,0.643,0.065,0.655,0.258,0.456,0
2023-09-24,0.1,8.6,24.0,holiday,10.3,0.0,0,0.673,0.518,0.62,,0.538,0.365,0.24,0
2023-09-25,0.0,8.6,24.6,weekday,9.8,0.0,0,0.52,0.035,0.0,0.667,0.149,0.009,0.172,0
2023-09-26,0.2,7.0,26.2,weekday,11.9,0.0,0,0.485,0.049,0.024,0.659,0.167,0.0,0.182,0
2023-09-27,0.0,8.3,26.0,weekday,9.0,1.0,0,,,0.254,0.728,0.324,0.0,0.218,0
2023-09-28,0.9,10.1,24.9,weekday,9.0,0.0,0,0.403,0.097,0.0,0.617,0.043,0.0,0.174,1
2023-09-29,0.0,5.4,25.7,weekday,12.5,0.0,0,,0.037,0.032,0.66,0.096,0.083,0.262,0
2023-09-30,1.5,9.3,27.1,holiday,13.8,0.0,0,0.616,0.555,0.654,0.028,0.552,0.413,0.232,0
2023-10-01,0.8,5.3,25.9,holiday,4.2,0.0,0,0.755,0.53,0.658,0.171,0.63,0.306,0.308,0
2023-10-02,0.6,4.3,25.5,weekday,1.9,0.0,0,0.468,0.189,0.012,0.724,0.186,0.0,0.288,0
2023-10-03,0.0,6.3,25.2,weekday,5.6,0.0,0,0.481,0.0,0.0,0.638,0.184,0.098,0.25,0
2023-10-04,2.1,3.7,26.6,weekday,1.1,0.0,0,0.439,0.132,0.024,0.664,0.115,0.065,0.411,0
2023-10-05,0.0,4.7,25.4,weekday,,1.0,0,0.468,0.428,0.374,0.655,0.339,0.025,0.21,0
2023-10-06,0.0,5.5,27.8,weekday,2.5,0.0,0,,0.302,0.007,0.608,0.134,0.098,0.242,0
2023-10-07,2.5,4.9,26.8,holiday,3.0,0.0,0,0.787,0.603,0.646,,0.573,0.333,0.451,0
2023-10-08,0.9,4.6,26.0,holiday,5.0,0.0,0,0.741,0.507,0.608,0.088,0.501,0.43,0.443,0
2023-10-09,1.5,5.5,26.1,weekday,0.7,1.0,0,0.425,0.362,,0.624,0.373,0.012,0.171,0
2023-10-10,4.8,5.4,27.9,weekday,1.2,0.0,0,0.47,0.092,0.0,0.709,0.034,0.016,0.293,0
2023-10-11,0.0,5.4,27.8,weekday,1.3,0.0,0,0.384,0.249,0.043,0.611,0.104,0.025,0.315,0
2023-10-12,1.1,5.6,26.9,weekday,0.4,0.0,0,0.399,0.026,0.003,0.656,0.064,0.0,0.383,0
2023-10-13,0.4,4.2,26.8,weekday,3.3,0.0,0,0.469,0.065,0.028,0.684,0.082,0.0,0.151,0
2023-10-14,0.1,6.1,27.5,holiday,0.7,0.0,0,0.718,0.545,0.609,0.188,0.654,0.328,0.528,0
2023-10-15,0.0,6.8,27.1,holiday,2.3,0.0,0,0.774,0.503,0.517,0.149,0.548,0.291,0.554,0
2023-10-16,0.6,3.8,26.6,weekday,3.2,0.0,0,0.458,0.247,0.05,0.666,0.129,0.0,0.346,0
2023-10-17,2.6,9.0,27.1,weekday,4.9,0.0,0,0.286,0.0,0.0,0.644,0.08,0.0,0.204,0
2023-10-18,0.0,4.6,27.9,weekday,5.9,0.0,0,0.395,0.15,0.0,0.649,0.065,0.0,0.281,0
2023-10-19,0.0,5.7,26.3,weekday,3.2,0.0,0,0.382,0.155,,0.675,0.056,0.009,0.144,0
2023-10-20,0.6,6.9,28.6,weekday,8.7,0.0,0,0.442,0.079,0.0,0.54,0.019,0.0,0.324,0
2023-10-21,2.0,5.0,28.9,holiday,3.2,0.0,0,0.667,0.418,0.572,0.132,0.604,0.296,0.442,0
2023-10-22,0.0,4.9,29.1,holiday,3.7,0.0,0,0.592,,0.647,0.0,0.677,0.355,0.393,0
2023-10-23,0.0,4.9,28.1,weekday,5.2,0.0,0,0.319,,0.0,0.646,0.133,0.0,,0
2023-10-24,2.2,5.6,29.2,weekday,2.1,0.0,0,,0.196,0.114,0.649,0.102,0.0,0.455,0
2023-10-25,1.5,5.1,28.2,weekday,2.4,0.0,0,0.394,0.155,0.0,0.686,0.135,0.0,0.404,0
2023-10-26,0.0,5.3,26.9,weekday,,,0,0.543,0.314,0.017,0.739,0.068,0.0,0.214,0
2023-10-27,0.2,5.6,28.9,weekday,0.5,0.0,0,0.508,0.012,0.0,0.693,0.079,0.047,0.408,0
2023-10-28,0.0,4.4,28.2,holiday,4.7,0.0,0,0.708,0.571,0.623,0.147,0.58,0.362,0.526,0
