date,temperature_c,wind_speed_mps,holiday,special_local_index,rainfall_mm,snowfall_cm,event_local_flag,typhoon_alert_flag,mobility_inflow_index,tourist_inflow_count,lodging_occupancy_ratio,rail_ridership,temple_shrine_visits,onsen_visitors_count,y
2023-09-13,24.2,7.0,weekday,0.198,11.2,1.1,0.0,0,0.588,0.078,0.0,0.694,0.188,0.0,0.0
2023-09-14,23.6,9.4,weekday,0.132,10.9,0.0,0.0,0,0.423,0.066,0.013,0.664,0.089,0.0,0.024
2023-09-15,23.1,6.0,weekday,0.252,11.5,0.3,0.0,0,0.405,0.0,0.113,0.571,0.093,0.0,0.003
2023-09-16,22.9,7.1,holiday,0.4,12.4,0.0,1.0,0,0.702,0.701,0.856,0.108,0.775,0.33,0.795
2023-09-17,23.8,8.8,holiday,0.459,9.6,2.5,0.0,0,0.597,0.352,0.567,0.057,0.613,0.362,0.486
2023-09-18,24.3,7.8,weekday,0.241,10.6,0.0,0.0,0,0.389,0.137,,0.535,0.14,0.003,0.079
2023-09-19,23.4,7.9,weekday,,15.7,0.0,0.0,0,0.358,0.142,0.068,0.656,0.044,0.0,0.001
2023-09-20,24.7,8.1,weekday,0.252,,1.5,0.0,0,0.366,0.076,0.0,0.681,,0.061,0.011
2023-09-21,25.5,7.0,weekday,0.207,8.4,1.6,0.0,0,0.286,,0.012,0.646,0.116,0.014,0.033
2023-09-22,24.5,8.1,weekday,0.227,9.1,2.3,0.0,0,0.332,0.165,0.101,0.577,0.073,,0.051
2023-09-23,24.5,8.2,holiday,,9.2,0.0,0.0,0,0.627,0.515,0.608,0.031,0.588,0.409,0.506
2023-09-24,23.5,5.6,holiday,0.366,,0.6,0.0,0,0.743,0.445,0.552,0.161,,0.399,0.479
2023-09-25,26.2,8.1,weekday,0.389,13.3,0.0,0.0,0,0.54,0.0,0.0,0.613,0.046,0.084,0.024
2023-09-26,25.6,6.8,weekday,0.268,14.2,0.9,0.0,0,0.453,0.0,0.013,0.686,0.127,0.0,0.018
2023-09-27,25.3,6.4,weekday,0.172,13.7,1.4,0.0,0,0.342,0.127,0.057,0.595,0.161,0.028,0.008
