date,ferry_cancel_count,holiday,rainfall_mm,tourist_inflow_count,temperature_c,wind_speed_mps,snowfall_cm,event_local_flag,typhoon_alert_flag,y
2023-09-13,0.289,weekday,12.8,0.051,20.4,8.0,0.5,0.0,0,1
2023-09-14,0.281,weekday,15.0,0.237,20.2,8.5,0.0,1.0,0,1
2023-09-15,0.31,weekday,12.9,0.138,21.9,8.9,0.0,0.0,0,1
2023-09-16,0.32,holiday,13.7,0.685,22.0,7.5,0.0,1.0,0,1
2023-09-17,0.237,holiday,15.3,0.347,21.8,8.8,2.7,0.0,0,1
2023-09-18,0.308,weekday,16.3,0.0,22.8,9.4,2.3,0.0,0,1
2023-09-19,0.316,weekday,12.2,0.147,22.8,9.9,0.0,0.0,0,1
2023-09-20,0.305,weekday,15.5,0.086,22.8,9.2,1.4,0.0,0,1
2023-09-21,0.299,weekday,15.1,0.044,22.3,8.3,2.6,0.0,0,1
2023-09-22,0.345,weekday,20.4,0.0,23.7,8.1,3.2,0.0,0,1
2023-09-23,0.355,holiday,14.6,0.6,24.5,10.0,0.0,0.0,0,1
2023-09-24,,holiday,16.0,0.492,23.7,8.7,2.3,0.0,0,1
2023-09-25,0.301,weekday,13.0,,24.5,9.5,1.5,0.0,0,1
2023-09-26,0.306,weekday,11.7,0.189,24.3,8.5,0.0,0.0,0,1
2023-09-27,0.355,weekday,18.0,0.098,24.0,9.2,0.0,0.0,0,1
2023-09-28,0.283,weekday,14.1,0.077,23.6,7.5,1.3,0.0,0,1
2023-09-29,0.407,weekday,13.8,0.158,25.1,10.9,2.8,0.0,0,1
2023-09-30,0.309,holiday,11.5,0.53,25.0,8.4,0.1,0.0,0,1
2023-10-01,0.139,holiday,1.6,0.529,25.4,3.5,0.0,0.0,0,0
2023-10-02,,weekday,2.1,0.171,24.7,5.5,2.5,0.0,0,0
2023-10-03,0.177,weekday,7.6,0.25,25.0,5.4,0.0,1.0,0,1
2023-10-04,0.106,weekday,1.9,0.14,26.1,3.3,0.0,0.0,0,0
2023-10-05,0.148,weekday,3.2,0.106,25.1,3.9,0.0,0.0,0,0
2023-10-06,0.14,weekday,3.0,0.228,25.4,4.2,0.0,0.0,0,1
2023-10-07,0.147,holiday,1.9,0.624,25.5,5.6,0.0,0.0,0,0
2023-10-08,0.209,,,0.489,25.2,7.0,0.8,0.0,0,0
2023-10-09,0.138,weekday,2.2,,24.3,5.6,0.0,0.0,0,0
2023-10-10,0.172,weekday,2.9,0.119,26.6,5.5,1.3,0.0,0,0
2023-10-11,0.176,weekday,5.9,0.243,25.4,6.1,0.0,0.0,0,0
2023-10-12,0.183,weekday,3.0,0.05,27.1,4.9,0.0,0.0,0,1
2023-10-13,0.144,weekday,4.1,0.303,26.9,4.6,0.4,1.0,0,0
2023-10-14,0.215,holiday,4.2,0.407,25.2,5.2,0.0,0.0,0,1
2023-10-15,0.175,holiday,5.1,0.491,24.7,6.4,0.0,0.0,0,0
2023-10-16,0.096,weekday,0.9,0.13,26.5,2.4,1.1,0.0,0,0
2023-10-17,0.106,weekday,1.6,0.108,26.7,3.6,0.9,0.0,0,0
2023-10-18,,weekday,8.6,0.056,27.1,3.9,0.3,0.0,0,0
2023-10-19,0.258,weekday,0.3,0.0,26.6,7.4,0.9,0.0,0,0
2023-10-20,0.209,weekday,5.3,0.165,27.0,5.6,0.5,0.0,0,0
2023-10-21,0.135,holiday,4.1,,27.1,4.4,0.0,0.0,0,0
2023-10-22,0.154,holiday,2.6,0.445,26.7,5.2,1.4,0.0,0,0
2023-10-23,0.242,weekday,8.5,0.011,27.1,5.0,0.0,0.0,0,0
2023-10-24,0.141,weekday,2.0,0.188,28.0,4.7,0.0,0.0,0,0
2023-10-25,0.254,weekday,1.4,,27.4,8.2,0.0,0.0,0,1
2023-10-26,0.199,weekday,4.3,0.272,28.2,6.9,0.0,0.0,0,0
2023-10-27,0.12,weekday,4.0,0.216,29.4,4.0,0.3,0.0,0,0
2023-10-28,0.204,holiday,5.9,0.614,26.6,4.8,0.0,0.0,0,1
2023-10-29,0.142,holiday,4.8,0.374,28.4,3.9,0.0,0.0,0,0
2023-10-30,0.292,weekday,7.4,0.189,28.0,7.5,0.2,0.0,0,1
2023-10-31,0.051,weekday,1.4,0.232,28.7,2.3,0.4,0.0,0,0
2023-11-01,0.163,weekday,1.0,0.135,28.1,4.9,3.0,,0,0
2023-11-02,0.2,weekday,5.9,0.108,26.8,6.5,4.1,0.0,0,1
2023-11-03,0.106,weekday,5.4,0.103,27.8,4.2,0.0,0.0,0,1
2023-11-04,0.259,holiday,1.2,0.579,29.8,7.2,0.0,0.0,0,1
2023-11-05,0.148,holiday,1.6,0.572,29.3,4.2,0.0,0.0,0,0
2023-11-06,0.209,,7.9,0.088,28.8,5.3,3.1,0.0,0,0
2023-11-07,0.181,weekday,,0.251,29.2,5.7,0.0,0.0,0,1
2023-11-08,0.163,weekday,0.4,0.254,28.0,5.7,1.5,0.0,0,0
2023-11-09,0.2,weekday,1.5,0.123,28.5,6.1,0.0,0.0,0,0
2023-11-10,0.201,weekday,1.9,0.178,29.5,5.1,0.0,0.0,0,0
2023-11-11,0.126,holiday,7.8,0.521,29.2,3.8,0.0,0.0,0,0
2023-11-12,0.164,holiday,2.9,0.578,28.8,4.3,0.0,0.0,0,0
2023-11-13,0.219,weekday,1.7,0.471,28.9,5.8,0.8,1.0,0,0
2023-11-14,0.221,weekday,3.2,,29.6,5.8,0.5,0.0,0,0
2023-11-15,0.223,weekday,3.5,0.114,28.6,7.2,0.0,0.0,0,0
2023-11-16,0.162,weekday,5.9,0.083,29.4,4.1,0.8,0.0,0,0
2023-11-17,0.193,weekday,1.9,0.167,27.5,4.5,0.0,0.0,0,0
2023-11-18,0.176,holiday,1.1,0.6,28.6,6.5,1.0,0.0,0,1
2023-11-19,0.109,holiday,2.9,0.508,30.1,2.5,2.0,0.0,0,0
2023-11-20,0.295,weekday,1.5,0.151,29.1,6.8,0.0,0.0,0,1
2023-11-21,0.1,weekday,2.3,0.214,28.8,4.9,0.0,0.0,0,0
2023-11-22,0.07,weekday,0.4,0.287,29.9,3.0,2.3,,0,0
2023-11-23,0.269,weekday,3.8,0.126,29.2,7.4,0.0,0.0,0,0
2023-11-24,0.16,weekday,0.4,0.373,28.3,5.4,1.6,1.0,0,0
2023-11-25,0.259,holiday,4.8,0.506,29.5,8.1,0.0,0.0,0,1
2023-11-26,0.144,holiday,3.6,0.662,30.3,4.7,1.7,0.0,0,0
2023-11-27,0.156,weekday,7.6,0.144,28.4,4.4,0.0,0.0,0,0
2023-11-28,0.194,weekday,4.5,0.209,28.6,7.5,0.0,0.0,0,0
2023-11-29,,weekday,3.3,0.416,29.7,4.1,0.0,1.0,0,0
2023-11-30,0.195,weekday,7.7,0.215,28.7,3.7,1.6,0.0,0,1
2023-12-01,0.148,holiday,1.5,0.206,29.3,4.8,0.6,0.0,0,0
2023-12-02,0.21,holiday,1.5,0.59,29.4,5.5,2.7,0.0,0,0
2023-12-03,0.167,holiday,2.7,0.679,29.0,5.2,0.0,0.0,0,0
2023-12-04,0.131,holiday,0.7,0.27,29.7,5.7,1.4,0.0,0,0
2023-12-05,0.186,holiday,4.0,0.489,29.8,5.7,4.0,0.0,0,0
2023-12-06,0.137,holiday,3.3,0.238,27.7,5.1,0.6,0.0,0,0
2023-12-07,0.162,holiday,3.4,0.434,29.4,5.0,1.0,0.0,0,0
2023-12-08,0.196,holiday,7.8,0.519,29.3,4.8,1.5,1.0,0,0
2023-12-09,0.089,holiday,9.4,0.744,29.6,4.0,0.5,1.0,0,0
2023-12-10,0.17,holiday,1.8,0.599,27.8,4.6,3.7,0.0,0,0
2023-12-11,0.191,holiday,4.0,0.599,28.2,5.2,2.1,1.0,0,1
2023-12-12,0.237,holiday,4.1,0.424,28.3,6.2,3.1,0.0,0,0
2023-12-13,0.123,holiday,6.9,0.243,29.2,3.7,2.6,0.0,0,0
2023-12-14,0.161,holiday,0.2,0.202,26.8,4.8,0.5,0.0,0,1
2023-12-15,,holiday,0.6,0.332,28.3,5.1,2.3,0.0,0,0
2023-12-16,0.575,holiday,6.8,0.668,28.4,6.8,0.7,1.0,1,1
2023-12-17,0.194,holiday,6.2,0.419,28.9,5.1,1.0,0.0,0,1
2023-12-18,0.122,holiday,2.3,0.312,28.0,4.1,1.3,0.0,0,0
2023-12-19,,holiday,4.2,0.267,27.9,4.8,0.0,0.0,0,0
2023-12-20,0.196,holiday,3.2,0.445,27.6,4.5,0.9,0.0,0,0
2023-12-21,0.129,holiday,1.4,0.425,28.7,3.7,6.3,0.0,0,0
2023-12-22,0.213,holiday,5.8,0.379,28.3,7.4,0.1,0.0,0,1
2023-12-23,0.242,holiday,1.0,0.57,26.6,6.0,0.0,0.0,0,0
2023-12-24,0.138,holiday,1.5,0.599,26.9,3.3,2.4,0.0,0,1
2023-12-25,,holiday,1.8,0.313,27.0,4.3,0.0,0.0,0,0
2023-12-26,0.219,holiday,8.1,0.29,26.3,6.7,1.2,0.0,0,1
2023-12-27,0.183,holiday,2.0,0.354,27.3,3.3,0.4,0.0,0,0
2023-12-28,0.14,holiday,1.3,0.327,27.3,5.5,0.8,0.0,0,0
2023-12-29,0.171,holiday,4.9,0.23,26.8,6.5,2.7,0.0,0,0
2023-12-30,0.144,holiday,2.0,0.573,27.6,4.6,1.0,0.0,0,0
2023-12-31,0.165,holiday,4.4,0.594,28.1,5.5,3.3,0.0,0,1
2024-01-01,0.138,holiday,0.3,,27.1,5.6,2.3,0.0,0,0
2024-01-02,0.107,holiday,2.6,0.338,27.1,3.6,1.3,0.0,0,0
2024-01-03,0.274,holiday,1.8,0.347,27.1,8.0,0.0,0.0,0,0
2024-01-04,0.261,holiday,4.0,0.323,26.1,7.9,3.0,0.0,0,1
