date,snowfall_cm,holiday,temperature_c,rail_ridership,rainfall_mm,wind_speed_mps,event_local_flag,typhoon_alert_flag,mobility_inflow_index,tourist_inflow_count,lodging_occupancy_ratio,temple_shrine_visits,onsen_visitors_count,beach_crowd_index,snow_quality_index,ski_resort_visitors,y
2023-09-13,2.8,weekday,23.3,0.672,16.6,8.7,0.0,0,0.435,0.138,0.061,0.195,0.0,0.081,0.0,0.0,1
2023-09-14,0.0,weekday,22.9,0.6,15.3,10.6,0.0,0,0.337,0.199,0.0,0.0,0.004,0.0,0.0,0.0,1
2023-09-15,0.0,weekday,25.0,0.582,15.5,9.5,0.0,0,0.513,0.071,0.056,0.162,0.019,0.147,0.06,0.0,1
2023-09-16,2.1,holiday,25.2,0.099,16.7,6.4,0.0,0,0.738,0.548,0.614,0.587,0.383,0.342,0.0,0.116,1
2023-09-17,1.6,holiday,25.6,0.025,13.5,5.7,0.0,0,0.663,0.559,0.603,0.61,0.325,0.393,0.0,,1
2023-09-18,0.0,weekday,24.3,0.69,11.8,7.4,0.0,0,0.568,0.0,0.0,0.113,0.0,0.122,0.0,0.0,1
2023-09-19,0.0,weekday,25.0,0.627,18.3,6.7,0.0,0,0.448,0.101,,0.135,,0.115,0.0,0.0,1
2023-09-20,0.0,weekday,24.6,0.552,13.0,6.2,0.0,0,0.376,0.107,0.0,0.025,,0.103,0.0,0.009,1
2023-09-21,1.8,weekday,24.9,0.614,12.2,6.7,0.0,0,0.53,0.062,0.03,0.107,0.018,0.095,0.01,0.0,1
2023-09-22,0.0,weekday,24.4,0.681,13.2,7.3,0.0,0,0.439,0.0,,0.044,0.0,0.139,0.009,0.0,1
2023-09-23,0.0,holiday,24.5,0.062,12.3,9.9,0.0,0,0.702,0.402,0.544,0.532,0.348,0.216,0.0,0.201,1
2023-09-24,1.9,holiday,25.2,0.117,17.1,6.3,0.0,0,0.674,0.523,0.618,0.693,0.331,0.355,0.0,0.254,1
2023-09-25,0.0,weekday,25.6,0.603,14.4,8.0,0.0,0,0.365,0.0,0.0,0.177,0.063,0.112,,0.0,1
2023-09-26,0.0,weekday,25.7,0.635,11.9,8.8,0.0,0,0.362,0.022,0.0,0.128,0.0,0.134,0.005,0.0,1
2023-09-27,4.2,weekday,26.9,0.561,14.8,6.9,0.0,0,0.528,0.065,0.032,0.098,0.105,0.177,0.021,0.0,1
2023-09-28,0.0,weekday,25.7,0.623,12.4,10.1,0.0,0,0.454,0.07,0.086,0.128,0.017,0.233,0.0,0.0,1
2023-09-29,0.0,weekday,25.5,0.63,12.8,7.0,0.0,0,0.399,0.07,0.002,0.135,,0.155,0.0,0.0,1
2023-09-30,0.0,holiday,26.5,0.113,13.4,8.4,0.0,0,0.722,0.426,0.602,0.639,0.367,0.327,0.0,0.103,1
2023-10-01,0.0,holiday,25.9,0.123,3.1,3.2,0.0,0,0.734,0.395,0.551,0.667,,0.438,0.0,0.177,0
2023-10-02,0.0,weekday,25.7,0.574,2.6,5.1,0.0,0,0.32,0.237,0.141,0.0,0.016,0.27,0.022,0.0,0
