date,rail_ridership,mobility_inflow_index,holiday,rainfall_mm,temperature_c,wind_speed_mps,snowfall_cm,event_local_flag,typhoon_alert_flag,tourist_inflow_count,lodging_occupancy_ratio,temple_shrine_visits,onsen_visitors_count,beach_crowd_index,snow_quality_index,ski_resort_visitors,y
2023-09-13,,0.386,weekday,13.5,22.8,8.0,0.0,0.0,0,0.009,0.0,0.099,0.0,0.0,0.092,0.004,0.325
2023-09-14,0.623,0.393,weekday,13.2,23.0,6.8,1.3,0.0,1,0.0,0.007,,0.0,,0.0,0.002,0.325
2023-09-15,0.717,0.373,weekday,12.4,24.2,6.3,0.3,0.0,0,0.0,0.02,0.131,0.0,0.255,0.0,0.043,0.388
2023-09-16,0.115,,holiday,14.9,23.6,7.6,0.0,0.0,0,0.516,0.647,0.538,0.363,0.259,0.0,0.204,0.381
2023-09-17,0.096,0.64,holiday,15.4,24.3,8.9,0.0,0.0,0,0.331,0.499,0.589,0.239,0.235,0.0,0.154,0.336
2023-09-18,0.593,0.385,weekday,13.1,24.7,5.8,0.0,0.0,1,0.143,0.005,0.123,0.0,0.158,0.0,,0.321
2023-09-19,0.636,0.523,weekday,16.8,25.3,5.7,0.0,0.0,0,0.112,0.043,0.186,0.05,0.118,0.0,0.0,0.367
2023-09-20,0.634,0.377,weekday,14.9,24.1,7.5,0.0,0.0,0,0.161,0.04,0.083,0.0,0.071,0.0,0.003,0.356
2023-09-21,,0.392,weekday,,24.8,9.5,1.5,0.0,0,0.0,0.006,0.1,0.0,0.0,0.0,0.0,0.374
2023-09-22,0.635,0.376,weekday,16.7,25.4,5.8,0.9,0.0,0,0.185,0.044,0.086,0.063,0.235,0.0,0.002,0.326
2023-09-23,,0.639,holiday,13.6,24.1,7.6,0.7,0.0,0,0.466,0.653,0.682,0.332,0.346,0.0,0.191,0.303
2023-09-24,0.026,,holiday,16.2,26.0,7.8,0.0,0.0,0,,0.555,0.603,0.363,0.372,0.0,,0.276
2023-09-25,0.596,0.344,weekday,18.1,25.2,9.0,1.7,0.0,0,0.058,0.0,0.176,0.013,0.164,0.005,0.0,0.333
2023-09-26,0.55,0.49,weekday,15.3,25.8,8.6,0.0,1.0,0,0.273,0.334,0.219,0.031,0.077,0.0,0.004,0.368
2023-09-27,,0.37,weekday,13.5,26.4,8.8,0.0,0.0,0,0.098,0.068,0.051,0.0,,0.0,0.0,0.342
2023-09-28,0.626,,weekday,14.6,24.9,8.3,0.0,0.0,0,0.245,0.128,0.101,0.053,0.196,0.016,0.0,0.319
2023-09-29,0.741,0.471,weekday,11.4,24.7,8.1,4.0,0.0,0,0.08,0.027,0.105,0.0,0.066,0.001,0.017,0.385
2023-09-30,0.088,0.644,holiday,12.5,26.6,7.8,0.6,0.0,0,0.554,0.614,0.532,,0.434,0.0,0.27,0.372
2023-10-01,0.007,0.766,holiday,10.3,25.4,1.8,2.1,0.0,0,0.489,0.609,0.694,0.307,0.487,0.005,0.293,0.298
2023-10-02,0.624,0.377,weekday,2.5,26.1,5.1,0.6,0.0,0,0.003,0.067,0.006,0.045,0.332,0.058,0.007,0.391
2023-10-03,0.723,0.507,weekday,3.1,26.9,6.7,1.6,1.0,0,0.452,0.283,0.227,0.0,0.305,0.0,0.0,0.458
