date,holiday,event_local_flag,tourist_inflow_count,rainfall_mm,temple_shrine_visits,temperature_c,wind_speed_mps,snowfall_cm,typhoon_alert_flag,mobility_inflow_index,lodging_occupancy_ratio,rail_ridership,y
2023-09-13,weekday,0.0,0.0,12.3,0.067,19.5,8.2,2.8,0,0.406,0.004,0.536,0.322
2023-09-14,weekday,1.0,0.472,16.0,0.323,21.6,7.3,0.0,0,0.348,0.237,0.681,0.396
2023-09-15,weekday,,0.092,12.4,0.105,21.0,9.0,0.3,0,0.391,0.0,0.647,0.362
2023-09-16,,0.0,0.431,16.5,0.646,21.4,8.1,3.0,0,0.717,0.536,0.0,0.341
2023-09-17,holiday,0.0,0.478,15.6,0.591,21.0,8.5,0.5,0,0.791,0.567,0.116,0.337
2023-09-18,weekday,1.0,0.339,15.3,0.35,22.1,8.7,0.0,0,0.256,0.357,0.569,0.308
2023-09-19,weekday,0.0,0.0,17.9,0.003,21.6,7.4,0.0,0,0.404,0.007,,0.346
2023-09-20,weekday,0.0,0.009,12.9,0.132,22.5,8.4,0.9,0,0.411,0.016,0.684,0.392
2023-09-21,weekday,0.0,0.0,14.3,0.0,21.4,7.6,1.3,0,0.377,0.0,,0.312
2023-09-22,weekday,0.0,0.096,12.6,0.15,23.3,7.7,0.8,0,0.454,0.007,,0.372
2023-09-23,holiday,0.0,0.367,13.0,0.526,23.3,7.5,0.0,0,0.69,0.611,0.052,0.328
2023-09-24,holiday,0.0,0.483,12.8,0.615,23.9,7.2,0.0,1,0.698,0.641,0.113,0.315
2023-09-25,weekday,0.0,0.156,13.8,0.062,21.8,7.2,0.0,0,0.466,0.031,0.668,0.359
2023-09-26,weekday,0.0,0.06,15.6,0.03,23.6,10.7,0.0,0,0.524,0.009,,0.401
2023-09-27,weekday,0.0,0.17,11.6,0.172,22.7,8.6,0.0,1,0.543,0.133,0.69,0.395
2023-09-28,weekday,,0.109,11.4,0.061,21.2,6.3,0.0,0,0.351,0.018,0.607,0.317
2023-09-29,weekday,0.0,0.214,19.7,0.115,24.4,7.5,0.0,0,,0.091,0.565,0.323
2023-09-30,holiday,0.0,0.492,12.1,0.649,24.2,6.7,3.4,0,0.618,0.519,0.106,0.279
2023-10-01,holiday,0.0,0.426,3.1,0.525,23.0,5.3,0.7,0,0.755,0.513,0.066,0.361
2023-10-02,weekday,0.0,0.196,1.5,0.029,22.7,2.0,3.6,0,0.365,0.121,0.654,0.397
2023-10-03,weekday,0.0,,3.1,0.097,24.6,3.4,2.7,0,0.398,0.079,0.683,0.385
2023-10-04,weekday,0.0,0.164,1.8,0.018,24.1,5.8,0.0,0,0.45,0.0,0.65,0.445
2023-10-05,weekday,,0.18,4.1,0.119,24.5,5.2,0.0,0,0.404,0.0,0.56,0.404
2023-10-06,weekday,0.0,0.052,5.7,0.099,25.4,4.2,0.0,0,,0.0,0.695,0.431
2023-10-07,holiday,0.0,0.514,4.7,0.561,24.7,4.8,0.0,0,0.753,0.662,0.161,0.407
2023-10-08,holiday,0.0,0.448,,,26.1,6.9,2.2,0,0.617,0.608,0.098,0.339
2023-10-09,weekday,0.0,0.208,4.4,,25.7,3.3,1.2,0,0.456,0.118,0.666,0.39
2023-10-10,weekday,0.0,0.017,2.6,0.152,26.4,2.7,0.7,0,0.464,0.0,0.672,0.371
2023-10-11,weekday,,0.009,1.6,0.085,26.1,4.7,0.0,0,0.307,0.0,0.634,0.334
2023-10-12,weekday,0.0,0.263,1.3,0.108,26.0,5.9,0.0,0,0.41,0.023,0.576,0.334
2023-10-13,weekday,,0.058,6.0,0.073,25.2,5.0,0.0,0,0.391,0.041,0.667,0.376
2023-10-14,holiday,0.0,0.621,3.7,0.56,27.3,5.4,0.0,0,0.582,0.728,0.021,0.308
2023-10-15,holiday,0.0,0.708,6.9,0.605,24.2,5.3,0.0,0,0.738,0.59,0.056,0.32
2023-10-16,weekday,0.0,0.209,5.9,0.11,24.5,4.3,0.0,0,0.414,0.0,0.645,0.409
2023-10-17,weekday,0.0,0.088,4.1,0.038,24.6,4.0,0.0,0,0.421,0.0,,0.349
2023-10-18,weekday,0.0,0.281,3.7,0.142,27.2,4.9,1.0,0,0.343,0.056,0.686,0.376
2023-10-19,weekday,,0.225,1.9,0.083,27.8,3.7,0.0,0,,0.029,0.694,0.396
2023-10-20,weekday,0.0,,0.5,0.099,26.3,4.8,0.0,0,0.554,0.079,0.666,0.405
2023-10-21,holiday,0.0,0.54,2.8,0.569,28.6,2.9,1.3,0,0.602,0.554,0.173,0.378
2023-10-22,holiday,0.0,0.509,4.8,0.567,26.6,6.3,0.5,1,0.619,0.589,0.108,0.296
2023-10-23,weekday,0.0,0.12,0.8,0.023,27.2,2.8,2.8,0,0.454,0.0,0.581,0.393
2023-10-24,weekday,0.0,0.302,,0.062,26.9,1.4,0.4,0,0.334,0.116,0.58,0.393
