date,holiday,temperature_c,rainfall_mm,wind_speed_mps,snowfall_cm,event_local_flag,typhoon_alert_flag,mobility_inflow_index,tourist_inflow_count,lodging_occupancy_ratio,rail_ridership,temple_shrine_visits,y
2023-09-13,weekday,19.6,14.4,7.8,0.5,0.0,0,0.524,0.004,0.0,0.557,0.009,0.019
2023-09-14,weekday,21.6,13.8,9.9,0.0,0.0,0,0.282,0.068,0.009,0.521,0.001,0.0
2023-09-15,weekday,22.4,13.0,8.7,0.0,0.0,0,0.212,0.017,0.051,0.527,0.109,0.001
2023-09-16,holiday,20.1,12.0,8.7,0.0,0.0,0,0.73,0.568,0.625,0.112,0.662,0.474
2023-09-17,holiday,22.8,15.9,10.7,0.8,0.0,0,,0.361,0.546,0.064,0.524,0.419
2023-09-18,weekday,21.7,12.1,5.5,2.4,0.0,0,0.394,0.049,0.0,0.682,0.122,0.0
2023-09-19,weekday,21.2,12.6,8.9,0.0,0.0,0,0.524,0.024,0.037,0.714,0.094,0.028
2023-09-20,weekday,23.3,12.0,12.2,0.6,0.0,0,0.297,0.054,0.021,0.566,,0.0
2023-09-21,weekday,22.0,12.9,7.2,1.3,0.0,1,0.343,0.077,,0.69,0.112,0.009
2023-09-22,weekday,21.6,12.1,8.8,1.2,0.0,0,0.49,0.116,0.0,0.636,0.162,0.029
2023-09-23,holiday,23.1,12.7,7.5,2.2,0.0,0,0.656,0.573,0.557,0.089,0.569,0.542
2023-09-24,holiday,24.3,19.1,9.8,0.5,0.0,0,0.71,0.521,0.584,0.075,0.562,0.516
2023-09-25,weekday,24.2,11.3,9.9,0.0,0.0,0,0.518,0.0,0.069,0.665,0.0,0.021
2023-09-26,weekday,23.9,11.2,6.3,1.2,0.0,1,0.504,0.133,0.0,0.65,0.166,0.052
2023-09-27,weekday,24.2,14.4,9.0,0.0,0.0,0,0.489,0.044,0.023,0.747,,0.025
2023-09-28,weekday,23.2,12.1,8.5,0.0,0.0,0,0.378,0.098,0.035,0.733,0.177,0.021
2023-09-29,weekday,24.4,14.1,9.1,0.0,0.0,0,0.418,0.0,0.0,0.567,0.117,0.033
2023-09-30,holiday,24.8,19.2,9.9,1.3,0.0,0,0.539,0.447,0.585,0.035,0.528,0.535
2023-10-01,holiday,25.1,0.8,8.7,1.3,0.0,0,0.811,0.646,0.64,0.222,0.61,0.592
