date,rainfall_mm,ferry_cancel_count,lodging_occupancy_ratio,holiday,temperature_c,wind_speed_mps,snowfall_cm,event_local_flag,typhoon_alert_flag,mobility_inflow_index,tourist_inflow_count,rail_ridership,y
2023-09-13,19.4,0.242,0.011,weekday,20.1,7.0,0.0,0.0,0,0.318,0.0,0.59,1
2023-09-14,12.7,0.271,0.059,weekday,21.0,7.6,0.0,0.0,0,0.293,0.0,0.607,1
2023-09-15,13.3,0.541,0.018,weekday,20.7,7.1,0.0,0.0,1,0.496,0.054,0.647,1
2023-09-16,18.8,,0.634,holiday,21.5,8.1,0.0,,0,0.666,0.534,0.0,1
2023-09-17,15.1,0.296,0.637,holiday,20.9,8.1,0.0,0.0,0,0.601,0.374,0.112,1
2023-09-18,13.1,0.278,0.0,weekday,22.2,7.5,0.0,0.0,0,0.347,0.065,0.693,1
2023-09-19,13.6,0.238,0.004,weekday,21.6,6.6,0.3,,0,0.479,0.081,,1
2023-09-20,11.7,0.28,0.003,weekday,22.7,7.8,0.0,0.0,0,0.415,0.011,0.727,1
2023-09-21,16.5,0.367,0.01,weekday,23.6,10.5,0.0,0.0,0,0.482,0.048,0.665,1
2023-09-22,13.9,0.261,0.211,weekday,23.4,5.7,0.8,1.0,0,0.451,0.185,0.645,1
2023-09-23,13.4,0.251,0.564,holiday,23.3,7.1,0.2,0.0,0,0.638,0.483,0.102,1
2023-09-24,11.5,0.319,,holiday,23.6,9.4,2.0,0.0,0,0.61,0.502,0.062,1
2023-09-25,16.7,0.306,0.0,weekday,23.2,8.2,0.0,0.0,0,0.454,0.043,0.729,1
2023-09-26,12.3,0.276,0.067,weekday,23.5,6.9,0.6,0.0,0,0.393,0.086,,1
2023-09-27,14.0,0.269,0.143,weekday,23.6,7.3,0.2,0.0,0,0.327,0.082,0.659,1
2023-09-28,17.3,0.284,0.002,weekday,22.8,7.7,1.0,0.0,0,0.418,0.0,0.626,1
2023-09-29,14.7,0.2,0.0,weekday,23.6,4.3,0.0,0.0,0,0.461,0.031,0.68,1
