date,holiday,rainfall_mm,event_local_flag,temperature_c,wind_speed_mps,y
2023-09-13,weekday,21.4,0.0,19.9,10.0,1
2023-09-14,weekday,20.6,0.0,21.8,10.6,1
2023-09-15,weekday,23.6,1.0,19.7,14.4,1
2023-09-16,holiday,19.6,0.0,21.1,12.1,1
2023-09-17,holiday,24.3,0.0,21.0,10.8,1
2023-09-18,weekday,21.8,0.0,21.3,13.3,1
2023-09-19,weekday,21.9,0.0,21.3,12.8,1
2023-09-20,weekday,23.0,0.0,22.4,11.4,1
2023-09-21,weekday,22.3,0.0,20.9,10.5,1
2023-09-22,weekday,20.7,0.0,20.9,11.0,1
2023-09-23,holiday,19.6,0.0,22.3,11.8,1
2023-09-24,holiday,25.5,0.0,22.6,13.5,1
2023-09-25,weekday,20.8,0.0,22.4,12.8,1
2023-09-26,weekday,23.8,1.0,21.5,13.3,1
2023-09-27,weekday,23.3,1.0,20.8,13.2,1
2023-09-28,weekday,22.4,0.0,22.4,14.5,1
2023-09-29,weekday,,0.0,23.1,11.8,1
2023-09-30,holiday,19.9,0.0,22.6,11.8,1
2023-10-01,holiday,1.9,0.0,22.1,5.6,0
2023-10-02,weekday,2.2,0.0,24.4,6.1,0
2023-10-03,weekday,3.3,0.0,23.2,4.9,0
2023-10-04,weekday,4.8,0.0,23.5,5.8,0
2023-10-05,weekday,4.4,0.0,24.8,7.7,1
2023-10-06,weekday,3.0,0.0,22.8,6.7,0
2023-10-07,holiday,2.7,0.0,24.2,4.9,0
2023-10-08,holiday,0.6,0.0,24.9,8.2,0
2023-10-09,weekday,4.0,,24.0,3.6,1
2023-10-10,weekday,6.2,0.0,24.9,6.9,0
2023-10-11,weekday,7.2,0.0,24.7,4.8,0
2023-10-12,weekday,1.3,0.0,25.7,7.3,1
2023-10-13,weekday,1.6,0.0,24.1,5.6,0
2023-10-14,holiday,1.4,0.0,25.1,5.5,0
2023-10-15,holiday,4.5,0.0,25.3,6.2,1
2023-10-16,weekday,2.8,0.0,25.7,6.2,1
2023-10-17,weekday,5.5,0.0,26.7,6.1,0
2023-10-18,weekday,0.5,0.0,25.2,5.6,0
2023-10-19,weekday,2.3,0.0,25.2,5.1,0
2023-10-20,weekday,7.1,1.0,26.1,2.6,0
2023-10-21,holiday,2.9,0.0,26.7,6.3,0
2023-10-22,holiday,4.3,0.0,26.6,6.0,0
2023-10-23,weekday,,1.0,26.0,7.0,0
2023-10-24,weekday,2.1,1.0,27.0,6.1,0
2023-10-25,weekday,2.1,0.0,27.9,3.1,0
2023-10-26,weekday,3.1,0.0,25.9,5.3,0
2023-10-27,weekday,4.3,,27.0,6.2,0
2023-10-28,holiday,1.4,0.0,26.5,5.6,0
2023-10-29,holiday,7.6,0.0,27.8,6.6,0
2023-10-30,weekday,4.4,0.0,28.1,5.9,0
2023-10-31,weekday,6.1,1.0,27.8,4.8,0
2023-11-01,weekday,5.6,0.0,26.2,6.0,0
2023-11-02,weekday,3.2,0.0,26.1,4.5,0
2023-11-03,weekday,5.5,0.0,29.6,5.1,0
2023-11-04,holiday,1.6,0.0,26.7,7.5,0
2023-11-05,holiday,2.1,0.0,29.1,5.3,0
2023-11-06,weekday,3.2,0.0,27.9,6.5,0
2023-11-07,weekday,8.3,0.0,27.1,4.6,0
2023-11-08,weekday,2.8,1.0,28.1,5.4,0
2023-11-09,weekday,4.3,,28.5,4.7,0
2023-11-10,weekday,2.6,0.0,29.2,5.1,0
2023-11-11,holiday,5.5,,29.6,5.3,0
2023-11-12,holiday,2.1,0.0,28.5,4.9,0
2023-11-13,weekday,6.2,0.0,27.9,5.9,0
2023-11-14,weekday,3.2,0.0,29.0,6.3,0
