date,beach_crowd_index,temperature_c,holiday,rainfall_mm,wind_speed_mps,y
2023-09-13,0.0,20.7,weekday,19.9,12.2,0.062
2023-09-14,0.0,20.0,weekday,21.0,10.3,0.11
2023-09-15,0.0,19.1,weekday,23.6,12.1,0.044
2023-09-16,0.149,21.6,holiday,23.0,11.3,0.282
2023-09-17,0.046,20.3,holiday,25.5,11.6,0.237
2023-09-18,,20.7,weekday,20.9,12.6,0.112
2023-09-19,0.0,20.9,weekday,22.1,11.4,0.128
2023-09-20,,22.3,weekday,27.0,12.9,0.042
2023-09-21,0.0,21.1,weekday,24.1,10.2,0.09
2023-09-22,0.0,21.9,weekday,22.4,10.8,0.125
2023-09-23,0.121,22.5,holiday,20.0,12.9,0.224
2023-09-24,0.135,22.3,holiday,26.2,12.4,0.233
2023-09-25,0.0,21.4,weekday,19.8,14.0,0.04
2023-09-26,0.049,24.2,weekday,25.2,11.2,0.137
2023-09-27,0.0,23.0,weekday,29.7,13.1,0.145
2023-09-28,0.077,22.7,weekday,22.1,10.1,0.141
2023-09-29,0.0,23.2,weekday,23.4,12.8,0.05
2023-09-30,,23.0,holiday,20.9,14.1,0.261
2023-10-01,0.297,23.4,holiday,2.8,4.8,0.474
2023-10-02,0.094,22.5,weekday,,4.4,0.313
2023-10-03,0.25,23.6,weekday,,3.9,0.279
2023-10-04,0.022,24.5,weekday,4.4,6.3,0.258
2023-10-05,0.239,23.8,weekday,3.5,4.7,0.26
2023-10-06,0.164,23.6,weekday,3.1,5.0,0.341
2023-10-07,0.369,24.1,holiday,5.0,6.0,0.377
2023-10-08,0.522,24.2,holiday,2.9,5.3,0.426
2023-10-09,0.185,23.1,weekday,4.3,4.1,0.367
2023-10-10,0.13,25.0,weekday,4.5,5.4,0.326
2023-10-11,0.149,24.5,weekday,5.6,4.9,0.339
2023-10-12,0.034,23.7,weekday,4.1,6.4,0.205
2023-10-13,0.236,26.1,weekday,3.4,6.3,0.299
2023-10-14,0.314,25.9,holiday,3.1,5.2,0.494
2023-10-15,0.43,24.7,holiday,1.1,7.0,0.465
2023-10-16,,25.3,weekday,1.8,6.8,0.301
2023-10-17,0.189,24.6,weekday,4.1,5.2,0.324
2023-10-18,0.122,25.2,weekday,3.9,5.9,0.272
2023-10-19,0.311,26.7,weekday,7.8,4.7,0.357
2023-10-20,0.257,26.6,weekday,7.4,5.3,0.289
2023-10-21,0.505,27.8,holiday,2.2,4.7,0.515
2023-10-22,0.377,26.0,holiday,3.3,3.7,0.465
2023-10-23,0.295,26.0,weekday,4.8,4.3,0.259
2023-10-24,0.359,25.3,weekday,8.0,5.1,0.284
2023-10-25,0.189,27.3,weekday,2.4,7.3,0.354
2023-10-26,0.179,27.2,weekday,1.1,7.1,0.347
2023-10-27,0.249,26.4,weekday,4.3,3.7,0.386
2023-10-28,0.441,26.3,holiday,2.0,5.0,0.462
2023-10-29,0.416,26.8,holiday,1.9,3.4,0.538
2023-10-30,0.246,27.4,weekday,2.7,8.2,0.294
2023-10-31,0.325,28.8,weekday,8.0,5.0,0.359
2023-11-01,0.278,28.6,weekday,4.5,4.5,0.385
2023-11-02,0.218,28.7,weekday,1.2,7.6,0.412
2023-11-03,0.255,28.3,weekday,4.3,5.5,0.373
2023-11-04,0.334,27.3,holiday,8.7,4.5,0.462
2023-11-05,0.362,27.5,holiday,1.1,8.1,0.488
2023-11-06,0.191,26.7,weekday,5.3,6.7,0.278
2023-11-07,0.361,28.4,weekday,3.4,3.2,0.386
2023-11-08,0.344,28.5,weekday,1.6,5.6,0.4
2023-11-09,0.374,28.1,weekday,2.8,6.1,0.3
2023-11-10,0.233,28.9,weekday,9.7,3.3,0.356
2023-11-11,0.617,28.3,holiday,2.4,5.6,0.463
2023-11-12,0.554,28.3,holiday,2.6,4.0,0.493
2023-11-13,0.22,28.3,weekday,,5.7,0.338
2023-11-14,0.367,28.3,weekday,0.4,4.8,0.399
2023-11-15,0.279,28.9,weekday,9.0,7.4,0.342
2023-11-16,0.335,28.4,weekday,0.5,4.5,0.416
2023-11-17,0.389,28.5,weekday,5.2,4.9,0.446
2023-11-18,0.481,28.7,holiday,1.8,6.5,0.48
2023-11-19,0.674,28.2,holiday,5.7,5.5,0.424
2023-11-20,0.204,28.9,weekday,1.2,3.6,0.386
2023-11-21,0.232,28.4,weekday,6.1,6.0,0.369
2023-11-22,0.228,28.6,weekday,6.4,4.7,0.406
2023-11-23,0.386,30.6,weekday,2.0,5.3,0.372
2023-11-24,,29.7,weekday,2.5,5.5,0.33
2023-11-25,0.447,28.2,holiday,3.3,4.4,0.491
2023-11-26,0.558,29.5,holiday,1.9,5.3,0.495
2023-11-27,0.176,28.3,weekday,2.2,6.4,0.296
2023-11-28,0.364,29.9,weekday,5.2,5.0,0.387
2023-11-29,0.261,29.7,weekday,3.4,5.9,0.345
2023-11-30,0.317,29.8,weekday,3.9,4.9,0.303
2023-12-01,0.34,30.0,holiday,4.2,7.7,0.493
2023-12-02,0.78,30.5,holiday,1.2,4.8,0.606
2023-12-03,0.498,30.2,holiday,0.6,5.5,0.482
2023-12-04,0.43,31.2,holiday,5.9,6.4,0.466
2023-12-05,0.491,30.8,holiday,1.4,2.7,0.565
2023-12-06,0.388,29.6,holiday,0.4,3.6,0.61
2023-12-07,0.564,30.6,holiday,4.1,5.0,0.569
2023-12-08,0.427,29.9,holiday,3.3,2.8,0.548
2023-12-09,0.47,30.2,holiday,5.7,4.8,0.543
2023-12-10,0.619,31.2,holiday,2.1,6.5,0.421
2023-12-11,0.291,29.9,holiday,,8.4,0.501
2023-12-12,0.423,28.9,holiday,3.0,5.2,0.576
2023-12-13,0.457,28.8,holiday,6.1,5.4,0.489
2023-12-14,0.451,30.4,holiday,3.8,5.3,0.558
2023-12-15,0.478,29.1,holiday,3.6,4.8,0.556
2023-12-16,0.517,28.5,holiday,3.7,4.9,0.51
2023-12-17,0.608,28.9,holiday,3.6,4.9,0.544
2023-12-18,0.453,28.6,holiday,7.0,4.7,0.468
2023-12-19,0.343,29.7,holiday,1.9,4.6,0.496
2023-12-20,0.599,29.8,holiday,4.7,5.2,0.541
2023-12-21,0.514,31.1,holiday,0.5,4.8,0.588
2023-12-22,0.576,30.1,holiday,0.3,3.9,0.543
2023-12-23,0.582,29.4,holiday,6.7,4.8,0.519
2023-12-24,0.465,29.3,holiday,3.0,6.0,0.506
2023-12-25,0.459,28.9,holiday,6.7,5.6,0.484
2023-12-26,0.508,30.1,holiday,0.9,6.8,0.54
2023-12-27,0.507,30.4,holiday,4.6,4.8,0.517
2023-12-28,0.38,28.1,holiday,3.1,3.9,0.518
2023-12-29,0.41,29.3,holiday,1.3,7.4,0.528
2023-12-30,0.5,31.0,holiday,2.5,7.7,0.5
2023-12-31,0.492,29.1,holiday,1.1,6.7,0.506
2024-01-01,0.467,29.2,holiday,,5.2,0.507
2024-01-02,0.493,29.7,holiday,8.3,5.1,0.478
2024-01-03,0.331,30.3,holiday,2.2,4.6,0.561
2024-01-04,0.362,28.3,holiday,1.4,6.2,0.511
2024-01-05,0.463,29.4,holiday,2.1,4.5,0.454
2024-01-06,0.599,29.2,holiday,2.1,5.0,0.618
2024-01-07,0.561,27.9,holiday,,1.6,0.568
2024-01-08,0.337,28.8,holiday,2.9,5.5,0.482
2024-01-09,0.378,29.0,holiday,3.9,5.6,0.474
2024-01-10,0.578,29.9,holiday,0.8,6.6,0.528
2024-01-11,0.375,28.1,holiday,3.0,6.6,0.465
2024-01-12,0.394,29.8,holiday,5.8,6.2,0.521
2024-01-13,0.486,27.2,holiday,5.6,5.1,0.517
2024-01-14,0.49,27.9,holiday,2.2,4.4,0.48
2024-01-15,0.309,27.2,holiday,6.2,5.6,0.468
2024-01-16,0.531,30.4,holiday,1.2,6.7,0.534
2024-01-17,0.335,27.8,holiday,9.3,5.7,0.512
2024-01-18,0.461,28.2,holiday,5.5,4.8,0.549
2024-01-19,0.332,26.9,holiday,9.3,6.7,0.5
2024-01-20,,28.9,holiday,1.1,4.3,0.546
2024-01-21,0.459,28.7,holiday,6.1,5.7,0.513
2024-01-22,,27.9,holiday,4.3,4.1,0.523
2024-01-23,0.328,26.7,holiday,2.5,5.7,0.463
2024-01-24,0.458,27.6,holiday,5.7,2.2,0.551
2024-01-25,0.352,26.6,holiday,3.9,4.4,0.449
2024-01-26,0.276,26.3,holiday,5.3,7.2,0.419
2024-01-27,0.465,26.4,holiday,5.6,5.8,0.468
2024-01-28,0.431,26.4,holiday,1.5,6.3,0.528
2024-01-29,0.292,26.5,holiday,6.5,6.9,0.414
2024-01-30,0.392,26.9,holiday,9.4,4.7,0.503
2024-01-31,0.302,28.2,holiday,1.8,5.3,0.528
2024-02-01,0.273,26.5,weekday,2.1,4.2,0.347
2024-02-02,0.084,26.8,weekday,1.1,6.7,0.304
2024-02-03,0.628,26.7,holiday,3.6,7.3,0.369
2024-02-04,0.494,25.3,holiday,2.6,3.1,0.492
2024-02-05,0.241,26.0,weekday,0.7,3.8,0.384
2024-02-06,0.231,25.4,weekday,4.6,5.2,0.306
2024-02-07,0.301,26.4,weekday,1.7,2.9,0.426
2024-02-08,0.241,25.7,weekday,3.9,6.1,0.317
2024-02-09,0.021,25.3,weekday,5.9,4.5,0.311
2024-02-10,0.42,24.7,holiday,1.7,5.5,0.494
2024-02-11,0.313,25.6,holiday,7.8,4.8,0.47
2024-02-12,0.207,25.7,weekday,,3.8,0.372
2024-02-13,0.222,23.7,weekday,1.4,6.1,0.226
2024-02-14,,25.0,weekday,3.3,7.4,0.181
2024-02-15,0.193,25.2,weekday,1.3,5.1,0.293
