date,holiday,rainfall_mm,temperature_c,onsen_visitors_count,wind_speed_mps,y
2023-09-13,weekday,24.4,20.4,0.04,12.5,0.238
2023-09-14,weekday,23.8,20.1,0.038,13.8,0.0
2023-09-15,weekday,22.5,21.2,0.0,10.9,0.017
2023-09-16,holiday,24.7,20.2,0.267,10.7,0.427
2023-09-17,holiday,19.5,20.3,0.311,11.8,0.492
2023-09-18,weekday,25.0,21.5,0.039,13.0,0.0
2023-09-19,weekday,21.4,21.4,0.0,11.4,0.0
2023-09-20,weekday,22.8,22.3,0.0,14.9,0.0
2023-09-21,weekday,,21.2,0.01,10.2,0.029
2023-09-22,weekday,22.7,23.0,0.0,13.5,0.011
2023-09-23,holiday,22.9,20.8,0.398,12.7,0.509
2023-09-24,holiday,20.3,22.8,0.353,14.0,0.545
2023-09-25,weekday,24.3,22.8,0.0,13.6,0.042
2023-09-26,weekday,23.1,22.3,0.054,12.3,0.0
2023-09-27,weekday,24.4,21.8,0.039,12.4,0.023
2023-09-28,weekday,23.1,22.2,0.0,10.8,0.114
2023-09-29,weekday,22.4,21.4,0.013,13.2,0.0
2023-09-30,holiday,20.3,22.2,0.292,11.8,0.523
2023-10-01,holiday,6.0,22.6,0.313,4.1,0.502
2023-10-02,weekday,0.5,24.3,0.0,5.5,0.092
2023-10-03,weekday,5.5,23.3,0.0,8.5,0.083
2023-10-04,weekday,3.3,24.2,0.038,4.1,0.0
2023-10-05,weekday,3.6,23.9,0.0,4.2,0.112
2023-10-06,weekday,1.4,25.0,0.004,5.7,0.057
2023-10-07,holiday,3.9,23.4,0.346,4.5,0.584
2023-10-08,holiday,3.7,23.7,0.372,4.1,0.519
2023-10-09,weekday,3.2,23.6,0.0,3.8,0.075
2023-10-10,weekday,1.7,24.0,0.014,5.4,0.055
2023-10-11,weekday,4.2,25.9,0.0,4.2,0.067
2023-10-12,weekday,1.1,25.1,0.003,6.1,0.054
2023-10-13,weekday,2.9,24.9,0.016,5.5,0.106
2023-10-14,holiday,5.2,24.5,0.403,6.0,0.537
2023-10-15,holiday,3.2,24.4,0.397,4.2,0.537
2023-10-16,weekday,7.7,26.5,0.09,5.4,0.052
2023-10-17,weekday,1.9,25.7,0.048,4.7,0.083
2023-10-18,weekday,1.0,25.2,0.029,4.5,0.336
2023-10-19,weekday,3.1,25.1,0.104,5.3,0.09
2023-10-20,weekday,2.7,25.7,0.0,4.9,0.116
2023-10-21,holiday,6.5,26.6,0.25,5.5,0.576
2023-10-22,holiday,1.4,25.3,0.314,6.2,0.575
2023-10-23,weekday,8.2,25.9,,4.6,0.067
2023-10-24,weekday,2.5,25.9,0.0,4.3,0.03
2023-10-25,weekday,1.3,27.0,0.069,6.8,0.053
2023-10-26,weekday,,26.7,0.0,4.7,0.018
2023-10-27,weekday,1.3,27.7,0.0,4.6,0.389
2023-10-28,holiday,2.8,26.3,0.235,5.2,0.603
2023-10-29,holiday,2.7,26.3,0.322,5.4,0.564
2023-10-30,weekday,2.7,27.8,0.0,4.7,0.021
2023-10-31,weekday,2.9,29.8,0.024,6.8,0.068
2023-11-01,weekday,1.7,26.8,0.019,5.1,0.069
2023-11-02,weekday,,27.4,0.0,5.5,0.069
2023-11-03,weekday,5.5,28.4,0.0,2.7,0.073
2023-11-04,holiday,3.8,27.1,0.23,3.6,0.519
2023-11-05,holiday,8.9,28.2,0.293,6.2,0.557
2023-11-06,weekday,2.5,28.2,0.0,7.9,0.047
2023-11-07,weekday,1.7,29.0,0.012,6.7,0.117
2023-11-08,weekday,1.9,27.4,0.0,5.8,0.018
2023-11-09,weekday,1.4,28.5,0.059,1.9,0.049
2023-11-10,weekday,1.0,28.6,0.0,4.7,0.084
2023-11-11,holiday,2.2,29.1,,6.9,0.554
2023-11-12,holiday,5.8,28.5,0.401,3.7,0.558
2023-11-13,weekday,3.3,27.7,0.078,6.0,0.046
2023-11-14,weekday,3.2,28.7,0.011,5.4,0.042
2023-11-15,weekday,7.3,30.1,0.0,3.9,0.023
2023-11-16,weekday,,28.9,0.0,2.9,0.061
2023-11-17,weekday,7.3,29.1,0.022,4.9,0.081
2023-11-18,holiday,2.8,29.1,,3.7,0.517
2023-11-19,holiday,2.6,28.3,0.389,6.5,0.528
2023-11-20,weekday,5.8,29.7,0.003,4.4,0.052
2023-11-21,weekday,2.7,29.3,0.009,5.3,0.111
2023-11-22,weekday,,30.3,0.0,6.9,0.349
2023-11-23,weekday,0.1,30.3,0.08,5.3,0.058
2023-11-24,weekday,1.6,29.0,0.0,6.2,0.403
2023-11-25,holiday,5.2,30.0,0.491,5.5,0.531
2023-11-26,holiday,8.0,29.9,0.317,5.6,0.553
2023-11-27,weekday,0.6,29.8,0.0,2.9,0.147
2023-11-28,weekday,4.1,30.6,0.0,4.1,0.099
2023-11-29,weekday,3.0,30.3,0.074,3.2,0.079
2023-11-30,weekday,3.9,30.8,,7.1,0.03
2023-12-01,holiday,3.0,29.4,0.24,6.2,0.5
2023-12-02,holiday,4.9,30.6,0.317,2.3,0.903
2023-12-03,holiday,4.1,29.5,0.458,5.2,0.579
2023-12-04,holiday,5.6,29.5,0.197,4.8,0.473
2023-12-05,holiday,5.5,28.3,0.19,8.1,0.478
2023-12-06,holiday,3.7,30.7,0.178,7.6,0.479
2023-12-07,holiday,2.9,29.3,0.167,4.5,0.505
2023-12-08,holiday,8.3,29.8,0.124,6.2,0.727
2023-12-09,holiday,3.9,30.8,0.336,4.3,0.551
2023-12-10,holiday,1.8,30.7,0.388,4.5,0.557
2023-12-11,holiday,2.5,30.2,0.154,5.0,0.52
2023-12-12,,3.3,30.2,0.213,5.1,0.469
2023-12-13,holiday,3.7,28.7,0.227,5.8,0.454
2023-12-14,holiday,5.3,29.0,0.207,4.9,0.464
2023-12-15,holiday,6.5,28.7,0.224,4.8,0.512
2023-12-16,holiday,3.1,31.0,0.326,4.1,0.517
2023-12-17,holiday,7.3,30.0,0.446,7.7,0.556
2023-12-18,holiday,1.0,29.5,0.183,9.5,0.529
2023-12-19,holiday,2.5,30.4,0.148,3.2,0.511
2023-12-20,holiday,6.4,30.0,0.245,5.4,0.72
2023-12-21,holiday,2.9,29.9,,6.1,0.493
2023-12-22,holiday,4.0,29.0,0.19,7.0,0.535
2023-12-23,holiday,5.8,29.1,0.347,5.4,0.625
2023-12-24,holiday,2.5,30.5,0.296,1.8,0.57
2023-12-25,holiday,5.3,30.2,0.217,6.0,0.506
2023-12-26,holiday,0.8,28.8,0.14,4.0,0.502
2023-12-27,holiday,8.6,29.7,0.164,5.1,0.463
2023-12-28,holiday,3.1,29.2,0.206,7.3,0.506
2023-12-29,holiday,3.8,30.9,0.239,5.5,0.509
2023-12-30,holiday,2.1,30.7,0.354,2.9,0.6
2023-12-31,holiday,2.5,31.0,0.421,5.6,0.595
2024-01-01,holiday,5.4,28.8,0.199,4.0,0.48
2024-01-02,holiday,3.9,28.5,0.198,6.2,0.481
2024-01-03,holiday,1.1,29.9,0.249,3.5,0.489
2024-01-04,holiday,9.2,29.5,0.142,3.6,0.466
2024-01-05,holiday,7.1,29.0,0.279,5.2,0.542
2024-01-06,holiday,4.7,29.1,0.258,3.9,0.539
2024-01-07,,7.1,28.8,0.322,4.5,0.534
2024-01-08,holiday,1.6,28.3,0.219,5.0,0.539
2024-01-09,holiday,4.8,29.7,0.285,4.0,0.518
2024-01-10,holiday,1.2,29.9,0.2,5.4,0.484
2024-01-11,holiday,,29.5,0.226,4.1,0.533
2024-01-12,holiday,1.0,29.9,0.289,4.9,0.509
2024-01-13,holiday,2.0,30.5,0.281,6.6,0.479
2024-01-14,holiday,2.8,27.8,0.341,6.6,0.84
2024-01-15,holiday,6.1,29.1,0.219,5.3,0.484
2024-01-16,holiday,4.6,27.9,0.117,5.8,0.492
2024-01-17,holiday,5.1,27.6,0.196,5.2,0.785
2024-01-18,holiday,6.6,27.2,0.184,2.5,0.487
2024-01-19,holiday,3.0,27.0,0.156,5.5,0.775
2024-01-20,holiday,5.3,27.2,0.381,5.2,0.535
2024-01-21,holiday,2.0,29.1,0.41,3.3,0.538
2024-01-22,holiday,1.8,27.3,0.143,5.6,0.463
2024-01-23,holiday,3.7,27.8,0.195,4.8,0.458
2024-01-24,holiday,2.5,27.0,0.136,4.6,0.538
2024-01-25,holiday,1.8,27.2,0.119,6.9,0.468
2024-01-26,holiday,6.3,27.4,0.159,6.8,0.792
2024-01-27,holiday,3.4,27.5,0.32,3.1,0.838
2024-01-28,holiday,0.8,28.6,0.411,4.2,0.547
2024-01-29,holiday,3.6,27.0,0.167,5.4,0.746
2024-01-30,holiday,0.5,26.7,0.105,7.5,0.515
2024-01-31,holiday,6.8,26.5,0.18,5.7,0.455
2024-02-01,weekday,5.7,25.8,0.018,5.3,0.106
2024-02-02,weekday,4.3,26.0,0.131,3.7,0.027
2024-02-03,holiday,6.0,24.7,0.313,4.6,0.505
2024-02-04,holiday,1.6,26.9,0.392,4.5,0.512
2024-02-05,weekday,3.6,26.0,0.0,7.9,0.055
2024-02-06,weekday,1.8,24.7,0.073,3.2,0.09
2024-02-07,weekday,1.3,27.2,0.057,4.7,0.058
2024-02-08,weekday,1.1,27.3,0.0,6.4,0.11
2024-02-09,weekday,1.6,25.2,0.0,6.3,0.045
2024-02-10,holiday,5.0,25.3,0.322,4.6,0.583
