date,wind_speed_mps,temperature_c,holiday,rainfall_mm,snowfall_cm,y
2023-09-13,12.3,21.1,weekday,25.2,1.9,1
2023-09-14,12.6,20.9,weekday,27.7,0.0,1
2023-09-15,11.6,20.7,weekday,27.4,2.8,1
2023-09-16,8.2,20.5,holiday,,0.0,1
2023-09-17,10.7,20.7,holiday,20.9,0.0,1
2023-09-18,11.1,21.2,weekday,20.6,0.0,1
2023-09-19,11.8,20.5,weekday,21.6,0.0,1
2023-09-20,11.0,21.2,weekday,20.8,1.5,1
2023-09-21,12.6,20.8,weekday,22.7,0.0,1
2023-09-22,9.7,21.8,weekday,23.0,1.6,1
2023-09-23,11.0,21.6,holiday,20.6,0.0,1
2023-09-24,10.5,20.9,holiday,22.1,3.2,1
2023-09-25,10.7,22.3,weekday,22.6,2.6,1
2023-09-26,10.8,22.6,weekday,22.3,0.0,1
2023-09-27,12.1,22.7,weekday,20.1,1.1,1
2023-09-28,12.0,22.4,weekday,23.4,0.0,1
2023-09-29,9.8,22.9,weekday,19.4,1.8,1
2023-09-30,10.9,22.6,holiday,23.3,0.0,1
2023-10-01,5.7,23.7,holiday,2.4,0.0,0
2023-10-02,2.8,23.4,weekday,,0.0,0
2023-10-03,3.2,24.5,weekday,,0.0,0
2023-10-04,2.6,24.4,weekday,1.2,0.0,0
2023-10-05,3.7,23.1,weekday,2.0,0.0,0
2023-10-06,5.1,22.6,weekday,4.2,0.0,1
2023-10-07,3.1,24.7,holiday,,0.6,0
2023-10-08,6.0,23.6,holiday,3.8,0.0,0
2023-10-09,3.7,24.4,weekday,,0.0,0
2023-10-10,5.3,24.4,weekday,4.1,0.8,1
2023-10-11,4.7,25.1,weekday,3.3,0.0,0
2023-10-12,3.7,23.8,weekday,6.5,1.5,0
2023-10-13,3.7,26.1,weekday,3.4,0.0,0
2023-10-14,2.6,23.7,holiday,2.9,0.0,0
2023-10-15,4.8,26.1,holiday,3.0,1.8,1
2023-10-16,5.1,25.6,weekday,1.4,1.7,0
2023-10-17,5.9,26.4,weekday,4.1,1.3,1
2023-10-18,5.1,26.6,weekday,1.0,0.0,1
2023-10-19,2.5,26.0,weekday,2.5,1.2,0
2023-10-20,3.0,26.1,weekday,3.0,0.5,0
2023-10-21,2.5,25.3,holiday,1.0,0.0,0
2023-10-22,4.2,27.0,holiday,1.2,0.0,0
2023-10-23,3.6,26.0,weekday,1.8,0.1,0
2023-10-24,4.9,26.8,weekday,,0.0,0
2023-10-25,1.5,26.2,weekday,6.7,0.4,0
2023-10-26,7.2,26.0,weekday,3.0,0.0,1
2023-10-27,2.0,28.9,weekday,3.8,0.0,0
2023-10-28,4.6,27.6,holiday,2.7,0.2,0
2023-10-29,3.7,28.0,holiday,0.6,0.0,0
2023-10-30,5.2,28.0,weekday,2.5,1.1,0
2023-10-31,5.4,28.9,weekday,0.7,0.4,1
2023-11-01,1.2,29.2,weekday,5.2,0.0,0
2023-11-02,4.2,28.0,weekday,5.6,2.5,1
2023-11-03,4.7,28.0,weekday,6.4,1.8,1
2023-11-04,2.2,27.9,holiday,2.1,0.7,0
2023-11-05,3.8,28.7,holiday,1.9,0.0,0
2023-11-06,4.6,28.3,weekday,3.1,0.7,1
2023-11-07,5.4,27.6,weekday,3.9,3.9,0
2023-11-08,3.8,28.0,weekday,2.8,0.0,0
2023-11-09,5.1,28.4,weekday,0.8,1.2,1
2023-11-10,3.3,28.1,weekday,2.3,1.1,0
2023-11-11,4.8,27.7,holiday,6.0,0.0,0
2023-11-12,4.1,28.8,holiday,3.3,0.0,0
2023-11-13,4.4,30.7,weekday,3.1,0.1,0
2023-11-14,4.3,29.8,weekday,1.4,0.0,0
2023-11-15,4.8,29.5,weekday,3.9,1.3,0
2023-11-16,3.5,28.4,weekday,1.5,1.4,0
2023-11-17,5.2,30.1,weekday,4.1,1.1,1
2023-11-18,5.2,28.8,holiday,4.4,0.0,0
2023-11-19,2.5,29.5,holiday,2.4,1.5,0
2023-11-20,3.0,29.5,weekday,,0.0,0
2023-11-21,4.7,29.7,weekday,1.1,0.0,1
2023-11-22,1.2,30.0,weekday,4.8,0.6,0
2023-11-23,1.4,28.6,weekday,6.7,0.0,0
2023-11-24,4.7,29.4,weekday,2.2,0.0,0
2023-11-25,4.1,29.6,holiday,1.4,0.0,0
2023-11-26,2.0,30.4,holiday,0.3,1.0,0
2023-11-27,5.1,29.2,weekday,3.1,0.3,0
2023-11-28,4.7,30.6,weekday,4.4,0.0,0
2023-11-29,5.1,30.1,weekday,2.0,0.1,0
2023-11-30,4.1,30.8,weekday,9.3,2.9,0
2023-12-01,4.4,30.1,holiday,0.6,0.0,0
2023-12-02,4.9,30.0,holiday,1.1,1.8,1
2023-12-03,3.5,28.4,holiday,0.2,3.1,0
2023-12-04,4.5,29.9,holiday,6.1,2.9,0
2023-12-05,5.5,29.1,holiday,4.0,0.0,0
2023-12-06,3.4,29.4,holiday,1.0,3.4,1
2023-12-07,6.6,30.3,holiday,1.9,1.0,1
2023-12-08,5.6,30.3,holiday,1.9,0.0,0
2023-12-09,3.2,29.6,holiday,3.2,1.2,0
2023-12-10,3.2,31.2,holiday,2.2,1.3,0
2023-12-11,4.4,29.6,holiday,5.8,4.4,0
2023-12-12,3.3,31.3,holiday,2.1,0.0,0
2023-12-13,3.8,30.5,holiday,0.6,2.0,0
2023-12-14,4.6,31.1,holiday,2.3,1.1,0
2023-12-15,5.2,30.2,holiday,,2.6,1
2023-12-16,5.1,28.5,holiday,0.9,3.2,0
2023-12-17,3.9,30.9,holiday,2.6,3.5,0
2023-12-18,2.9,30.0,holiday,0.7,2.5,0
2023-12-19,3.8,30.5,holiday,2.2,0.8,1
2023-12-20,5.2,29.4,holiday,2.3,0.0,1
2023-12-21,3.8,29.2,holiday,0.4,1.5,0
2023-12-22,5.9,29.0,holiday,1.4,1.4,0
2023-12-23,2.7,30.2,holiday,6.6,0.3,0
2023-12-24,5.2,28.1,holiday,1.1,0.0,0
2023-12-25,4.8,30.7,holiday,4.5,3.7,0
2023-12-26,3.1,28.4,holiday,9.8,0.0,0
