date,event_local_flag,holiday,rail_ridership,temperature_c,rainfall_mm,wind_speed_mps,snowfall_cm,y
2023-09-13,0.0,weekday,0.689,19.2,17.6,11.0,0.0,1
2023-09-14,0.0,weekday,0.621,19.2,20.0,12.4,0.0,1
2023-09-15,0.0,weekday,0.654,19.2,19.9,12.7,0.0,1
2023-09-16,,holiday,0.046,19.7,,12.6,2.0,1
2023-09-17,0.0,holiday,0.021,19.7,17.7,12.2,1.1,1
2023-09-18,0.0,weekday,0.594,19.1,17.9,11.6,0.0,1
2023-09-19,0.0,weekday,0.779,20.4,17.9,10.2,1.0,1
2023-09-20,0.0,weekday,0.546,20.0,26.1,12.8,3.8,1
2023-09-21,0.0,weekday,0.737,20.5,23.9,11.2,0.0,1
2023-09-22,0.0,weekday,0.65,19.9,18.7,11.8,0.0,1
2023-09-23,0.0,holiday,0.093,20.5,25.1,10.3,0.1,1
2023-09-24,0.0,holiday,0.008,21.0,18.6,11.6,0.0,1
2023-09-25,0.0,weekday,0.665,21.0,17.6,11.0,0.0,1
2023-09-26,0.0,weekday,0.556,20.7,21.6,10.8,0.0,1
2023-09-27,0.0,weekday,0.631,21.2,19.4,11.5,0.1,1
2023-09-28,0.0,weekday,0.631,21.0,16.6,11.8,0.0,1
2023-09-29,0.0,weekday,0.562,22.2,19.4,12.0,0.0,1
2023-09-30,0.0,holiday,0.052,23.1,21.2,11.7,0.0,1
2023-10-01,0.0,holiday,0.148,20.2,1.2,7.3,0.0,0
2023-10-02,0.0,weekday,0.676,21.8,7.5,6.0,0.0,0
2023-10-03,0.0,weekday,0.627,21.9,4.0,8.8,2.9,1
2023-10-04,0.0,weekday,0.738,23.3,1.4,7.3,1.3,1
2023-10-05,0.0,weekday,0.687,23.2,2.3,3.4,0.0,0
2023-10-06,0.0,weekday,0.721,23.0,0.8,6.3,2.8,0
2023-10-07,1.0,holiday,0.122,22.3,2.0,5.9,0.2,0
2023-10-08,1.0,holiday,,24.2,4.7,4.6,0.0,0
2023-10-09,0.0,weekday,0.691,24.6,4.8,6.3,0.7,1
2023-10-10,1.0,weekday,0.703,24.7,5.7,6.0,1.1,0
2023-10-11,0.0,weekday,0.642,25.0,2.3,6.5,0.8,0
2023-10-12,0.0,weekday,0.551,24.6,2.5,3.5,0.0,0
2023-10-13,0.0,weekday,0.646,22.7,6.0,7.1,0.0,1
2023-10-14,0.0,holiday,0.145,25.4,2.4,6.7,0.0,1
2023-10-15,0.0,holiday,0.125,23.2,4.6,5.4,0.0,0
2023-10-16,0.0,weekday,0.666,24.3,3.2,2.4,3.4,0
2023-10-17,0.0,weekday,0.696,23.6,3.6,6.2,0.9,0
2023-10-18,0.0,weekday,0.686,24.8,3.9,5.4,0.0,0
2023-10-19,0.0,weekday,0.712,26.2,3.2,5.6,1.0,0
2023-10-20,0.0,weekday,0.623,25.0,6.0,2.4,0.3,0
2023-10-21,0.0,holiday,0.205,25.5,3.1,4.7,0.8,1
2023-10-22,1.0,holiday,0.113,24.6,8.2,6.6,0.8,1
2023-10-23,0.0,weekday,0.685,24.8,1.8,6.3,3.7,1
2023-10-24,0.0,weekday,0.786,25.7,4.3,4.7,0.6,0
2023-10-25,0.0,weekday,0.725,25.2,6.5,5.6,0.0,1
2023-10-26,1.0,weekday,0.626,25.5,5.7,5.8,0.0,0
2023-10-27,0.0,weekday,0.682,26.0,1.2,5.7,1.0,0
2023-10-28,0.0,holiday,0.08,25.8,4.8,5.6,3.4,0
2023-10-29,0.0,holiday,0.087,26.3,1.5,4.8,0.0,0
2023-10-30,0.0,weekday,0.6,25.4,4.9,5.1,0.0,0
2023-10-31,0.0,weekday,0.627,25.5,2.7,6.8,0.0,0
2023-11-01,0.0,weekday,0.669,27.1,2.1,6.5,0.0,0
2023-11-02,1.0,weekday,0.629,27.0,3.2,5.1,0.0,0
2023-11-03,0.0,weekday,0.56,26.4,3.0,5.4,0.0,0
2023-11-04,0.0,holiday,0.0,27.7,5.2,4.7,0.0,0
2023-11-05,0.0,holiday,0.126,27.7,2.5,6.9,0.3,1
2023-11-06,0.0,weekday,0.611,26.9,3.8,5.3,0.0,1
2023-11-07,0.0,weekday,0.677,27.3,3.3,5.1,0.0,0
2023-11-08,0.0,weekday,,27.3,2.3,7.1,0.0,1
2023-11-09,0.0,weekday,0.723,27.3,3.2,3.0,0.0,0
2023-11-10,0.0,weekday,0.616,27.3,6.7,2.4,0.0,0
2023-11-11,0.0,holiday,0.086,27.4,2.0,4.3,2.5,0
2023-11-12,0.0,holiday,0.0,27.3,3.7,5.7,0.8,0
2023-11-13,0.0,weekday,0.684,26.6,6.1,4.9,1.1,0
2023-11-14,0.0,weekday,0.696,27.8,2.9,6.6,0.0,0
2023-11-15,0.0,weekday,,28.9,2.8,4.2,0.0,0
2023-11-16,0.0,weekday,0.686,27.0,6.7,5.8,0.0,0
2023-11-17,0.0,,0.685,28.3,2.8,5.3,0.0,1
2023-11-18,0.0,holiday,,28.3,3.0,6.1,0.5,1
2023-11-19,0.0,holiday,0.027,27.6,1.4,4.4,2.2,0
2023-11-20,0.0,weekday,0.725,28.2,4.1,4.9,0.0,0
2023-11-21,1.0,weekday,0.603,27.4,4.5,6.2,1.7,0
2023-11-22,0.0,weekday,0.704,27.4,0.7,7.9,0.0,1
2023-11-23,0.0,weekday,0.624,26.6,4.7,6.2,0.0,1
2023-11-24,0.0,weekday,0.648,29.1,7.3,4.6,0.0,0
2023-11-25,0.0,holiday,0.026,28.2,4.5,5.1,2.7,0
2023-11-26,0.0,holiday,0.248,28.9,1.0,5.1,0.7,0
2023-11-27,0.0,weekday,0.657,28.3,0.5,7.7,0.0,1
2023-11-28,0.0,weekday,0.594,28.3,3.2,5.8,0.0,0
2023-11-29,0.0,weekday,0.669,30.5,2.6,3.9,0.2,0
2023-11-30,0.0,weekday,,29.2,5.5,7.4,1.4,1
2023-12-01,0.0,holiday,0.114,29.0,,4.9,4.8,0
2023-12-02,0.0,holiday,0.027,30.2,4.3,4.0,0.0,0
2023-12-03,0.0,holiday,0.133,29.1,,5.0,4.0,0
2023-12-04,0.0,holiday,,28.8,2.3,4.4,0.0,0
2023-12-05,0.0,holiday,0.091,30.1,0.7,5.3,0.7,0
2023-12-06,0.0,holiday,0.083,29.8,0.6,6.5,0.7,1
2023-12-07,0.0,holiday,0.096,29.8,6.5,3.4,1.1,0
2023-12-08,0.0,holiday,0.047,28.6,1.9,4.5,1.1,0
2023-12-09,0.0,holiday,0.13,28.3,2.5,3.7,1.3,0
2023-12-10,0.0,holiday,0.082,28.6,2.0,4.7,4.6,0
2023-12-11,0.0,holiday,0.041,29.4,4.9,3.9,1.2,0
2023-12-12,0.0,holiday,,27.8,3.0,3.2,2.7,0
2023-12-13,0.0,holiday,0.01,28.3,1.1,5.3,4.3,0
2023-12-14,0.0,holiday,0.031,30.4,2.9,2.3,3.2,0
2023-12-15,1.0,holiday,0.034,28.8,4.2,4.5,6.9,0
2023-12-16,0.0,holiday,0.228,29.0,1.3,4.3,2.6,0
2023-12-17,0.0,holiday,0.121,29.2,6.3,3.9,2.3,0
2023-12-18,0.0,holiday,0.0,29.1,3.8,6.6,0.0,0
2023-12-19,0.0,holiday,0.179,27.4,2.8,5.4,0.2,0
2023-12-20,1.0,holiday,0.08,29.5,6.5,8.6,0.9,1
2023-12-21,0.0,holiday,0.036,29.8,4.6,7.2,0.0,1
2023-12-22,0.0,holiday,0.046,30.9,5.1,6.6,0.4,1
2023-12-23,0.0,holiday,0.106,29.2,1.9,4.9,0.6,0
2023-12-24,0.0,holiday,0.225,29.1,1.3,4.4,1.3,0
2023-12-25,0.0,holiday,0.068,27.5,1.3,6.3,0.0,0
2023-12-26,0.0,holiday,0.192,27.6,0.9,7.2,0.5,0
2023-12-27,0.0,holiday,0.081,29.3,2.6,4.8,1.9,0
2023-12-28,0.0,holiday,0.034,29.0,2.7,6.0,0.0,1
2023-12-29,0.0,holiday,0.123,28.7,4.9,6.9,0.3,1
2023-12-30,0.0,holiday,0.171,27.6,,3.5,3.3,1
2023-12-31,0.0,holiday,0.076,29.1,2.2,8.3,0.0,1
2024-01-01,0.0,holiday,0.121,29.3,9.1,5.0,0.0,0
