date,snowfall_cm,rainfall_mm,wind_speed_mps,ferry_cancel_count,holiday,temperature_c,event_local_flag,typhoon_alert_flag,mobility_inflow_index,tourist_inflow_count,lodging_occupancy_ratio,rail_ridership,temple_shrine_visits,onsen_visitors_count,beach_crowd_index,snow_quality_index,ski_resort_visitors,flight_delay_count,y
2023-09-13,1.9,7.5,4.5,0.16,weekday,24.1,0.0,0,0.258,0.155,0.056,0.626,0.216,0.009,0.213,0.008,0.0,0.167,0
2023-09-14,0.0,8.3,7.4,0.196,weekday,23.7,0.0,0,0.488,0.144,0.064,0.56,0.067,0.0,0.063,0.035,,0.236,1
2023-09-15,0.0,10.0,5.3,0.212,weekday,24.6,0.0,0,0.474,0.129,0.063,0.562,0.1,0.0,0.071,0.0,0.0,0.166,1
2023-09-16,0.0,6.7,5.5,0.215,holiday,23.3,0.0,0,0.694,0.468,0.553,0.026,0.635,0.352,0.3,,0.293,,1
2023-09-17,0.0,11.5,8.2,0.256,holiday,24.1,0.0,0,,0.474,0.518,0.023,0.617,,0.269,0.001,0.23,0.275,1
2023-09-18,2.9,15.6,6.0,0.238,weekday,23.4,0.0,0,0.566,0.098,0.033,,0.111,0.0,0.01,0.049,0.0,0.232,1
2023-09-19,0.0,8.4,3.4,0.141,weekday,24.1,0.0,0,0.48,0.08,0.012,0.798,0.03,0.009,0.158,0.019,0.0,0.164,0
2023-09-20,0.0,,4.9,0.165,weekday,24.3,0.0,0,0.408,,0.029,0.7,0.039,0.045,0.15,0.045,0.068,0.13,0
2023-09-21,0.0,9.8,6.2,0.241,weekday,23.6,0.0,0,0.349,0.038,,0.556,0.03,0.0,0.069,0.0,0.0,0.218,1
2023-09-22,0.0,10.0,7.8,0.248,weekday,24.8,0.0,0,0.415,0.073,0.051,0.567,0.088,0.0,0.093,0.0,0.0,0.28,1
2023-09-23,0.0,,6.7,0.215,holiday,24.3,0.0,0,0.715,0.438,0.536,0.219,0.619,0.31,0.34,0.0,0.169,0.183,1
2023-09-24,0.0,9.4,6.2,0.211,holiday,25.0,0.0,0,0.615,0.339,0.595,0.016,0.586,0.275,0.15,0.0,0.112,0.153,0
2023-09-25,0.0,8.7,5.2,0.191,weekday,24.8,0.0,0,0.346,0.092,0.022,0.742,0.094,0.0,0.219,0.0,0.0,0.151,1
2023-09-26,0.0,6.6,4.4,0.175,weekday,22.8,0.0,0,0.35,0.087,0.096,0.66,0.073,0.0,0.044,0.1,0.093,0.079,0
2023-09-27,0.0,7.0,6.8,0.258,weekday,25.0,0.0,0,0.328,0.092,0.028,0.642,0.091,0.008,0.068,0.024,0.033,0.215,1
2023-09-28,0.0,6.3,7.6,0.289,weekday,24.7,0.0,0,0.501,0.0,0.0,0.744,0.13,0.0,0.055,0.0,0.0,0.183,1
2023-09-29,0.0,6.3,4.8,0.167,weekday,26.1,0.0,0,0.31,0.0,,0.726,0.124,0.012,0.243,,0.0,0.142,0
2023-09-30,0.0,11.2,6.2,0.239,holiday,26.2,0.0,0,0.612,0.456,0.586,0.0,0.635,0.321,0.376,0.0,0.136,0.217,1
2023-10-01,0.0,8.0,4.6,0.172,holiday,25.4,0.0,0,0.755,0.584,0.573,0.097,0.54,0.422,0.401,0.0,0.17,,1
2023-10-02,4.0,7.7,4.2,,weekday,24.1,0.0,0,0.372,0.064,0.022,,0.064,0.011,0.19,0.145,0.232,0.179,1
2023-10-03,0.0,0.5,5.4,0.509,weekday,25.0,0.0,1,,0.071,0.081,0.713,0.167,0.001,0.181,0.006,0.002,0.374,1
2023-10-04,0.0,2.1,2.9,0.111,weekday,25.6,0.0,0,0.398,0.07,0.0,,0.192,0.0,0.278,0.006,0.029,0.098,1
